Water_Detected,Hands_in_Water,Soap_Score,Expected_Water_Detection,Expected_Water_Location,Expected_Soap_Score
1.0,0.0,0.0,481348.3500000007,0.0,0.0,1.
2.0,0.0,1.0,464391.3500000007,0.0,0.0,1.
3.0,0.0,0.0,505063.3500000007,0.0,0.0,1.
4.0,0.0,1.0,657823.3500000007,0.0,0.0,1.
5.0,0.0,1.0,550615.3500000007,0.0,0.0,1.
6.0,0.0,1.0,509601.3500000007,0.0,0.0,1.
7.0,0.0,1.0,467930.3500000007,0.0,0.0,1.
8.0,0.0,1.0,457183.3500000007,0.0,0.0,1.
9.0,0.0,1.0,453046.3500000007,0.0,0.0,1.
10.0,0.0,1.0,436625.3500000007,0.0,0.0,1.
11.0,0.0,1.0,453003.3500000007,0.0,0.0,1.
12.0,0.0,1.0,485792.3500000007,0.0,0.0,1.
13.0,0.0,1.0,475974.3500000007,0.0,0.0,1.
14.0,0.0,0.0,443708.3500000007,0.0,0.0,1.
15.0,0.0,0.0,438597.3500000007,0.0,0.0,1.
16.0,0.0,1.0,404772.3500000007,0.0,0.0,1.
17.0,0.0,0.0,418220.3500000007,0.0,0.0,1.
18.0,0.0,1.0,384444.3500000007,0.0,0.0,1.
19.0,0.0,1.0,368113.3500000007,0.0,0.0,1.
20.0,0.0,1.0,379241.3500000007,0.0,0.0,1.
21.0,0.0,1.0,343031.3500000007,0.0,0.0,1.
22.0,0.0,1.0,430505.3500000007,0.0,0.0,1.
23.0,0.0,0.0,310496.3500000007,0.0,0.0,1.
24.0,0.0,0.0,303829.3500000007,0.0,0.0,1.
25.0,0.0,0.0,288671.3500000007,0.0,0.0,1.
26.0,0.0,0.0,347850.3500000007,0.0,0.0,1.
27.0,0.0,0.0,371690.3500000007,0.0,0.0,1.
28.0,0.0,0.0,346082.3500000007,0.0,0.0,1.
29.0,0.0,0.0,356941.3500000007,0.0,0.0,1.
30.0,0.0,0.0,369376.3500000007,0.0,0.0,1.
31.0,0.0,0.0,437856.3500000007,0.0,0.0,1.
32.0,0.0,1.0,431425.3500000007,0.0,0.0,1.
33.0,0.0,1.0,408497.3500000007,0.0,0.0,1.
34.0,0.0,1.0,382896.3500000007,0.0,0.0,1.
35.0,0.0,1.0,418546.3500000007,0.0,0.0,1.
36.0,0.0,1.0,398433.3500000007,0.0,0.0,1.
37.0,0.0,0.0,452026.3500000007,0.0,0.0,1.
38.0,0.0,0.0,434231.3500000007,0.0,0.0,1.
39.0,0.0,1.0,468154.3500000007,0.0,0.0,1.
40.0,0.0,1.0,533845.3500000007,0.0,0.0,1.
41.0,0.0,1.0,535555.3500000007,0.0,0.0,1.
42.0,0.0,1.0,542944.3500000007,0.0,0.0,1.
43.0,0.0,1.0,516866.3500000007,0.0,0.0,1.
44.0,0.0,1.0,445285.3500000007,0.0,0.0,1.
45.0,0.0,0.0,251242.64999999932,0.0,0.0,1.
46.0,0.0,1.0,398048.3500000007,0.0,0.0,1.
47.0,0.0,1.0,414910.3500000007,0.0,0.0,1.
48.0,0.0,1.0,391420.3500000007,0.0,0.0,1.
49.0,0.0,1.0,422020.3500000007,0.0,0.0,1.
50.0,0.0,1.0,383488.3500000007,0.0,0.0,1.
51.0,0.0,1.0,386069.3500000007,0.0,0.0,1.
52.0,0.0,1.0,336258.3500000007,0.0,0.0,1.
53.0,0.0,1.0,354769.3500000007,0.0,0.0,1.
54.0,0.0,1.0,360067.3500000007,0.0,0.0,1.
55.0,0.0,1.0,357888.3500000007,0.0,0.0,1.
56.0,0.0,1.0,393642.3500000007,0.0,0.0,1.
57.0,0.0,1.0,416751.3500000007,0.0,0.0,1.
58.0,0.0,1.0,446214.3500000007,0.0,0.0,1.
59.0,0.0,1.0,459538.3500000007,0.0,0.0,1.
60.0,0.0,1.0,411970.3500000007,0.0,0.0,1.
61.0,0.0,1.0,443397.3500000007,0.0,0.0,1.
62.0,0.0,1.0,392106.3500000007,0.0,0.0,1.
63.0,0.0,1.0,398237.3500000007,0.0,0.0,1.
64.0,0.0,1.0,428844.3500000007,0.0,0.0,1.
65.0,0.0,1.0,379201.3500000007,0.0,0.0,1.
66.0,0.0,1.0,422439.3500000007,0.0,0.0,1.
67.0,0.0,1.0,394895.3500000007,0.0,0.0,1.
68.0,0.0,1.0,379315.3500000007,0.0,0.0,1.
69.0,0.0,1.0,416251.3500000007,0.0,0.0,1.
70.0,0.0,1.0,406843.3500000007,0.0,0.0,1.
71.0,0.0,1.0,386862.3500000007,0.0,0.0,1.
72.0,0.0,1.0,379918.3500000007,0.0,0.0,1.
73.0,0.0,1.0,376008.3500000007,0.0,0.0,1.
74.0,0.0,1.0,370881.3500000007,0.0,0.0,1.
75.0,0.0,1.0,367928.3500000007,0.0,0.0,1.
76.0,0.0,1.0,511901.3500000007,0.0,0.0,1.
77.0,0.0,1.0,561147.3500000007,0.0,0.0,1.
78.0,0.0,1.0,447912.3500000007,0.0,0.0,1.
79.0,0.0,1.0,428827.3500000007,0.0,0.0,1.
80.0,0.0,1.0,400652.3500000007,0.0,0.0,1.
81.0,0.0,1.0,378904.3500000007,0.0,0.0,1.
82.0,0.0,1.0,412776.3500000007,0.0,0.0,1.
83.0,0.0,1.0,385161.3500000007,0.0,0.0,1.
84.0,0.0,1.0,407126.3500000007,0.0,0.0,1.
85.0,0.0,1.0,417187.3500000007,0.0,0.0,1.
86.0,0.0,1.0,394812.3500000007,0.0,0.0,1.
87.0,0.0,1.0,372982.3500000007,0.0,0.0,1.
88.0,0.0,1.0,382276.3500000007,0.0,0.0,1.
89.0,0.0,1.0,385517.3500000007,0.0,0.0,1.
90.0,0.0,1.0,356508.3500000007,0.0,0.0,1.
91.0,0.0,1.0,391160.3500000007,0.0,0.0,1.
92.0,0.0,1.0,470881.3500000007,0.0,0.0,1.
93.0,0.0,1.0,407630.3500000007,0.0,0.0,1.
94.0,0.0,1.0,331420.3500000007,0.0,0.0,1.
95.0,0.0,1.0,371336.3500000007,0.0,0.0,1.
96.0,0.0,1.0,331239.3500000007,0.0,0.0,1.
97.0,0.0,1.0,422178.3500000007,0.0,0.0,1.
98.0,0.0,1.0,509697.3500000007,0.0,0.0,1.
99.0,0.0,1.0,511852.3500000007,0.0,0.0,1.
100.0,0.0,1.0,521420.3500000007,0.0,0.0,1.
