Water_Detected,Hands_in_Water,Soap_Score,Expected_Water_Detection,Expected_Water_Location,Expected_Soap_Score
1.0,0.0,1.0,735765.7578947351,0.0,0.0,1.
2.0,0.0,1.0,655869.7578947351,0.0,0.0,1.
3.0,0.0,1.0,706499.7578947351,0.0,0.0,1.
4.0,0.0,1.0,740408.7578947351,0.0,0.0,1.
5.0,0.0,1.0,732424.7578947351,0.0,0.0,1.
6.0,0.0,1.0,724404.7578947351,0.0,0.0,1.
7.0,0.0,1.0,716408.7578947351,0.0,0.0,1.
8.0,0.0,1.0,714925.7578947351,0.0,0.0,1.
9.0,0.0,1.0,706785.7578947351,0.0,0.0,1.
10.0,0.0,1.0,687126.7578947351,0.0,0.0,1.
11.0,0.0,1.0,686734.7578947351,0.0,0.0,1.
12.0,0.0,1.0,675406.7578947351,0.0,0.0,1.
13.0,0.0,1.0,659522.7578947351,0.0,0.0,1.
14.0,0.0,1.0,631385.7578947351,0.0,0.0,1.
15.0,0.0,1.0,629711.7578947351,0.0,0.0,1.
16.0,0.0,1.0,643863.7578947351,0.0,0.0,1.
17.0,0.0,1.0,653478.7578947351,0.0,0.0,1.
18.0,0.0,1.0,653651.7578947351,0.0,0.0,1.
19.0,0.0,1.0,650951.7578947351,0.0,0.0,1.
20.0,0.0,1.0,670215.7578947351,0.0,0.0,1.
21.0,0.0,1.0,697914.7578947351,0.0,0.0,1.
22.0,0.0,1.0,703761.7578947351,0.0,0.0,1.
23.0,0.0,1.0,687294.7578947351,0.0,0.0,1.
24.0,0.0,1.0,676729.7578947351,0.0,0.0,1.
25.0,0.0,1.0,659079.7578947351,0.0,0.0,1.
26.0,0.0,1.0,653818.7578947351,0.0,0.0,1.
27.0,0.0,1.0,645856.7578947351,0.0,0.0,1.
28.0,0.0,1.0,670461.7578947351,0.0,0.0,1.
29.0,0.0,1.0,810809.7578947351,0.0,0.0,1.
30.0,0.0,1.0,748260.7578947351,0.0,0.0,1.
31.0,0.0,1.0,706093.7578947351,0.0,0.0,1.
32.0,0.0,1.0,650854.7578947351,0.0,0.0,1.
33.0,0.0,1.0,635451.7578947351,0.0,0.0,1.
34.0,0.0,1.0,608135.7578947351,0.0,0.0,1.
35.0,0.0,1.0,597310.7578947351,0.0,0.0,1.
36.0,0.0,1.0,602986.7578947351,0.0,0.0,1.
37.0,0.0,1.0,594953.7578947351,0.0,0.0,1.
38.0,0.0,1.0,583847.7578947351,0.0,0.0,1.
39.0,0.0,1.0,577642.7578947351,0.0,0.0,1.
40.0,0.0,1.0,574048.7578947351,0.0,0.0,1.
41.0,0.0,1.0,577619.7578947351,0.0,0.0,1.
42.0,0.0,1.0,582126.7578947351,0.0,0.0,1.
43.0,0.0,1.0,578210.7578947351,0.0,0.0,1.
44.0,0.0,1.0,587973.7578947351,0.0,0.0,1.
45.0,0.0,1.0,586730.7578947351,0.0,0.0,1.
46.0,0.0,1.0,579510.7578947351,0.0,0.0,1.
47.0,0.0,1.0,589136.7578947351,0.0,0.0,1.
48.0,0.0,1.0,591749.7578947351,0.0,0.0,1.
49.0,0.0,1.0,591238.7578947351,0.0,0.0,1.
50.0,0.0,1.0,604176.7578947351,0.0,0.0,1.
51.0,0.0,1.0,607883.7578947351,0.0,0.0,1.
52.0,0.0,1.0,614922.7578947351,0.0,0.0,1.
53.0,0.0,1.0,617098.7578947351,0.0,0.0,1.
54.0,0.0,1.0,614463.7578947351,0.0,0.0,1.
55.0,0.0,1.0,617064.7578947351,0.0,0.0,1.
56.0,0.0,1.0,611156.7578947351,0.0,0.0,1.
57.0,0.0,1.0,613215.7578947351,0.0,0.0,1.
58.0,0.0,1.0,615616.7578947351,0.0,0.0,1.
59.0,0.0,1.0,614850.7578947351,0.0,0.0,1.
60.0,0.0,1.0,613700.7578947351,0.0,0.0,1.
61.0,0.0,1.0,610276.7578947351,0.0,0.0,1.
62.0,0.0,1.0,608856.7578947351,0.0,0.0,1.
63.0,0.0,1.0,609066.7578947351,0.0,0.0,1.
64.0,0.0,1.0,616378.7578947351,0.0,0.0,1.
65.0,0.0,1.0,619433.7578947351,0.0,0.0,1.
66.0,0.0,1.0,613073.7578947351,0.0,0.0,1.
67.0,0.0,1.0,616795.7578947351,0.0,0.0,1.
68.0,0.0,1.0,608928.7578947351,0.0,0.0,1.
69.0,0.0,1.0,611598.7578947351,0.0,0.0,1.
70.0,0.0,1.0,604597.7578947351,0.0,0.0,1.
71.0,0.0,1.0,607219.7578947351,0.0,0.0,1.
72.0,0.0,1.0,602675.7578947351,0.0,0.0,1.
73.0,0.0,1.0,610119.7578947351,0.0,0.0,1.
74.0,0.0,1.0,611393.7578947351,0.0,0.0,1.
75.0,0.0,1.0,608432.7578947351,0.0,0.0,1.
76.0,0.0,1.0,603341.7578947351,0.0,0.0,1.
77.0,0.0,1.0,612768.7578947351,0.0,0.0,1.
78.0,0.0,1.0,603901.7578947351,0.0,0.0,1.
79.0,0.0,1.0,607498.7578947351,0.0,0.0,1.
80.0,0.0,1.0,600942.7578947351,0.0,0.0,1.
81.0,0.0,1.0,609874.7578947351,0.0,0.0,1.
82.0,0.0,1.0,608202.7578947351,0.0,0.0,1.
83.0,0.0,1.0,595372.7578947351,0.0,0.0,1.
84.0,0.0,1.0,606367.7578947351,0.0,0.0,1.
85.0,0.0,1.0,613231.7578947351,0.0,0.0,1.
86.0,0.0,1.0,611436.7578947351,0.0,0.0,1.
87.0,0.0,1.0,609158.7578947351,0.0,0.0,1.
88.0,0.0,1.0,609734.7578947351,0.0,0.0,1.
89.0,0.0,1.0,607404.7578947351,0.0,0.0,1.
90.0,0.0,1.0,604906.7578947351,0.0,0.0,1.
91.0,0.0,1.0,609073.7578947351,0.0,0.0,1.
92.0,0.0,1.0,612826.7578947351,0.0,0.0,1.
93.0,0.0,1.0,602409.7578947351,0.0,0.0,1.
94.0,0.0,1.0,608597.7578947351,0.0,0.0,1.
95.0,0.0,1.0,606451.7578947351,0.0,0.0,1.
96.0,0.0,1.0,603895.7578947351,0.0,0.0,1.
97.0,0.0,1.0,596692.7578947351,0.0,0.0,1.
98.0,0.0,1.0,598009.7578947351,0.0,0.0,1.
99.0,0.0,1.0,600337.7578947351,0.0,0.0,1.
100.0,0.0,1.0,606308.7578947351,0.0,0.0,1.
101.0,0.0,1.0,598290.7578947351,0.0,0.0,1.
