Frame_Num,Water_Detected,Hands_in_Water,Soap_Score,Expected_Water_Detection,Expected_Water_Location,Expected_Soap_Score
1.0,0.0,1.0,404796.3928571413,0.0,0.0,1.
2.0,0.0,1.0,476771.3928571413,0.0,0.0,1.
3.0,0.0,1.0,479830.6071428587,0.0,0.0,1.
4.0,0.0,1.0,450398.6071428587,0.0,0.0,1.
5.0,0.0,1.0,506380.3928571413,0.0,0.0,1.
6.0,0.0,1.0,458554.6071428587,0.0,0.0,1.
7.0,0.0,1.0,487821.6071428587,0.0,0.0,1.
8.0,0.0,1.0,464635.3928571413,0.0,0.0,1.
9.0,0.0,1.0,475065.6071428587,0.0,0.0,1.
10.0,0.0,1.0,447005.6071428587,0.0,0.0,1.
11.0,0.0,1.0,438651.6071428587,0.0,0.0,1.
12.0,0.0,1.0,441632.3928571413,0.0,0.0,1.
13.0,0.0,1.0,407585.3928571413,0.0,0.0,1.
14.0,0.0,1.0,407721.3928571413,0.0,0.0,1.
15.0,0.0,1.0,415029.3928571413,0.0,0.0,1.
16.0,0.0,1.0,403335.3928571413,0.0,0.0,1.
17.0,0.0,1.0,390095.3928571413,0.0,0.0,1.
18.0,0.0,1.0,350793.3928571413,0.0,0.0,1.
19.0,0.0,1.0,360007.3928571413,0.0,0.0,1.
20.0,0.0,1.0,390243.3928571413,0.0,0.0,1.
21.0,0.0,1.0,456475.3928571413,0.0,0.0,1.
22.0,0.0,1.0,483591.3928571413,0.0,0.0,1.
23.0,0.0,1.0,408175.3928571413,0.0,0.0,1.
24.0,0.0,1.0,453623.3928571413,0.0,0.0,1.
25.0,0.0,1.0,444541.3928571413,0.0,0.0,1.
26.0,0.0,1.0,479909.3928571413,0.0,0.0,1.
27.0,0.0,1.0,479882.3928571413,0.0,0.0,1.
28.0,0.0,1.0,476765.3928571413,0.0,0.0,1.
29.0,0.0,1.0,475764.3928571413,0.0,0.0,1.
30.0,0.0,1.0,490222.3928571413,0.0,0.0,1.
31.0,0.0,1.0,496916.3928571413,0.0,0.0,1.
32.0,0.0,1.0,464128.3928571413,0.0,0.0,1.
33.0,0.0,1.0,367271.3928571413,0.0,0.0,1.
34.0,0.0,1.0,437471.3928571413,0.0,0.0,1.
35.0,0.0,1.0,443808.3928571413,0.0,0.0,1.
36.0,0.0,1.0,427013.3928571413,0.0,0.0,1.
37.0,0.0,1.0,445779.3928571413,0.0,0.0,1.
38.0,0.0,1.0,459987.3928571413,0.0,0.0,1.
39.0,0.0,1.0,495545.3928571413,0.0,0.0,1.
40.0,0.0,1.0,550474.3928571413,0.0,0.0,1.
41.0,0.0,1.0,630788.3928571413,0.0,0.0,1.
42.0,0.0,1.0,499468.3928571413,0.0,0.0,1.
43.0,0.0,1.0,471889.3928571413,0.0,0.0,1.
44.0,0.0,1.0,431586.3928571413,0.0,0.0,1.
45.0,0.0,1.0,455050.3928571413,0.0,0.0,1.
46.0,0.0,1.0,648021.3928571413,0.0,0.0,1.
47.0,0.0,1.0,493297.3928571413,0.0,0.0,1.
48.0,0.0,1.0,584971.3928571413,0.0,0.0,1.
49.0,0.0,1.0,633590.3928571413,0.0,0.0,1.
50.0,0.0,1.0,593689.3928571413,0.0,0.0,1.
51.0,0.0,1.0,490463.3928571413,0.0,0.0,1.
52.0,0.0,1.0,495139.6071428587,0.0,0.0,1.
53.0,0.0,1.0,493231.6071428587,0.0,0.0,1.
54.0,0.0,1.0,467910.6071428587,0.0,0.0,1.
55.0,0.0,1.0,478450.6071428587,0.0,0.0,1.
56.0,0.0,1.0,487202.6071428587,0.0,0.0,1.
57.0,0.0,1.0,477716.6071428587,0.0,0.0,1.
58.0,0.0,1.0,444086.3928571413,0.0,0.0,1.
59.0,0.0,1.0,409302.3928571413,0.0,0.0,1.
60.0,0.0,1.0,385163.3928571413,0.0,0.0,1.
61.0,0.0,1.0,399365.6071428587,0.0,0.0,1.
62.0,0.0,1.0,422993.6071428587,0.0,0.0,1.
63.0,0.0,1.0,444863.3928571413,0.0,0.0,1.
64.0,0.0,1.0,438137.3928571413,0.0,0.0,1.
65.0,0.0,1.0,464240.3928571413,0.0,0.0,1.
66.0,0.0,1.0,369934.6071428587,0.0,0.0,1.
67.0,0.0,1.0,383078.6071428587,0.0,0.0,1.
68.0,0.0,1.0,364933.3928571413,0.0,0.0,1.
69.0,0.0,1.0,326517.3928571413,0.0,0.0,1.
70.0,0.0,1.0,396210.3928571413,0.0,0.0,1.
71.0,0.0,1.0,447631.3928571413,0.0,0.0,1.
72.0,0.0,1.0,441470.3928571413,0.0,0.0,1.
73.0,0.0,1.0,411217.3928571413,0.0,0.0,1.
74.0,0.0,1.0,494307.6071428587,0.0,0.0,1.
