Frame_Num,Water_Detected,Hands_in_Water,Soap_Score,Expected_Water_Detection,Expected_Water_Location,Expected_Soap_Score
1.0,0.0,1.0,219482.1904761939,0.0,0.0,1.
2.0,0.0,1.0,173467.8095238061,0.0,0.0,1.
3.0,0.0,1.0,261975.8095238061,0.0,0.0,1.
4.0,0.0,1.0,290067.8095238061,0.0,0.0,1.
5.0,0.0,1.0,309544.8095238061,0.0,0.0,1.
6.0,0.0,1.0,360625.8095238061,0.0,0.0,1.
7.0,0.0,1.0,403635.8095238061,0.0,0.0,1.
8.0,0.0,1.0,314033.8095238061,0.0,0.0,1.
9.0,0.0,1.0,331599.8095238061,0.0,0.0,1.
10.0,0.0,1.0,348402.8095238061,0.0,0.0,1.
11.0,0.0,1.0,300685.8095238061,0.0,0.0,1.
12.0,0.0,1.0,390413.8095238061,0.0,0.0,1.
13.0,0.0,1.0,370019.8095238061,0.0,0.0,1.
14.0,0.0,1.0,386296.8095238061,0.0,0.0,1.
15.0,0.0,1.0,352143.8095238061,0.0,0.0,1.
16.0,0.0,1.0,281839.8095238061,0.0,0.0,1.
17.0,0.0,1.0,327821.8095238061,0.0,0.0,1.
18.0,0.0,1.0,341450.8095238061,0.0,0.0,1.
19.0,0.0,1.0,263303.8095238061,0.0,0.0,1.
20.0,0.0,0.0,311670.8095238061,0.0,0.0,1.
21.0,0.0,0.0,293765.8095238061,0.0,0.0,1.
22.0,0.0,0.0,230043.8095238061,0.0,0.0,1.
23.0,0.0,1.0,283384.8095238061,0.0,0.0,1.
24.0,0.0,1.0,195528.8095238061,0.0,0.0,1.
25.0,0.0,1.0,277293.8095238061,0.0,0.0,1.
26.0,0.0,1.0,421221.8095238061,0.0,0.0,1.
27.0,0.0,1.0,210058.8095238061,0.0,0.0,1.
28.0,0.0,1.0,416762.8095238061,0.0,0.0,1.
29.0,0.0,1.0,563323.8095238061,0.0,0.0,1.
30.0,0.0,1.0,557624.8095238061,0.0,0.0,1.
31.0,0.0,1.0,399796.8095238061,0.0,0.0,1.
32.0,0.0,1.0,235737.8095238061,0.0,0.0,1.
33.0,0.0,1.0,183312.1904761939,0.0,0.0,1.
34.0,0.0,1.0,206737.8095238061,0.0,0.0,1.
35.0,0.0,1.0,496762.8095238061,0.0,0.0,1.
36.0,0.0,1.0,312428.8095238061,0.0,0.0,1.
37.0,0.0,0.0,262868.1904761939,0.0,0.0,1.
38.0,0.0,0.0,350926.1904761939,0.0,0.0,1.
39.0,0.0,0.0,272934.1904761939,0.0,0.0,1.
40.0,0.0,0.0,282512.1904761939,0.0,0.0,1.
41.0,0.0,0.0,273034.1904761939,0.0,0.0,1.
42.0,0.0,0.0,301342.1904761939,0.0,0.0,1.
43.0,0.0,1.0,310737.1904761939,0.0,0.0,1.
44.0,0.0,0.0,290481.1904761939,0.0,0.0,1.
45.0,0.0,0.0,268861.1904761939,0.0,0.0,1.
46.0,0.0,0.0,312840.1904761939,0.0,0.0,1.
47.0,0.0,0.0,282508.1904761939,0.0,0.0,1.
48.0,0.0,0.0,287407.1904761939,0.0,0.0,1.
49.0,0.0,0.0,261805.1904761939,0.0,0.0,1.
50.0,0.0,0.0,243562.1904761939,0.0,0.0,1.
51.0,0.0,0.0,267014.1904761939,0.0,0.0,1.
52.0,0.0,0.0,276358.1904761939,0.0,0.0,1.
53.0,0.0,0.0,356988.1904761939,0.0,0.0,1.
54.0,0.0,0.0,314625.1904761939,0.0,0.0,1.
55.0,0.0,1.0,272696.1904761939,0.0,0.0,1.
56.0,0.0,1.0,289468.8095238061,0.0,0.0,1.
57.0,0.0,0.0,381663.8095238061,0.0,0.0,1.
58.0,0.0,0.0,195127.1904761939,0.0,0.0,1.
59.0,0.0,0.0,218325.1904761939,0.0,0.0,1.
60.0,0.0,0.0,256359.1904761939,0.0,0.0,1.
61.0,0.0,0.0,270366.1904761939,0.0,0.0,1.
62.0,0.0,0.0,253204.1904761939,0.0,0.0,1.
63.0,0.0,0.0,216511.1904761939,0.0,0.0,1.
