Frame_Num,Water_Detected,Hands_in_Water,Soap_Score,Expected_Water_Detection,Expected_Water_Location,Expected_Soap_Score
1.0,0.0,0.0,518073.3500000007,0.0,0.0,1.
2.0,0.0,0.0,474527.3500000007,0.0,0.0,1.
3.0,0.0,0.0,553441.3500000007,0.0,0.0,1.
4.0,0.0,0.0,563169.3500000007,0.0,0.0,1.
5.0,0.0,0.0,543138.3500000007,0.0,0.0,1.
6.0,0.0,0.0,535662.3500000007,0.0,0.0,1.
7.0,0.0,0.0,521571.3500000007,0.0,0.0,1.
8.0,0.0,0.0,523398.3500000007,0.0,0.0,1.
9.0,0.0,0.0,534823.3500000007,0.0,0.0,1.
10.0,0.0,0.0,515142.3500000007,0.0,0.0,1.
11.0,0.0,0.0,529250.3500000007,0.0,0.0,1.
12.0,0.0,1.0,566298.3500000007,0.0,0.0,1.
13.0,0.0,1.0,449787.3500000007,0.0,0.0,1.
14.0,0.0,1.0,253938.35000000068,0.0,0.0,1.
15.0,0.0,1.0,347944.3500000007,0.0,0.0,1.
16.0,0.0,1.0,419581.3500000007,0.0,0.0,1.
17.0,0.0,1.0,378185.3500000007,0.0,0.0,1.
18.0,0.0,1.0,360464.3500000007,0.0,0.0,1.
19.0,0.0,1.0,317481.3500000007,0.0,0.0,1.
20.0,0.0,1.0,323855.3500000007,0.0,0.0,1.
21.0,0.0,1.0,288990.3500000007,0.0,0.0,1.
22.0,0.0,1.0,337923.3500000007,0.0,0.0,1.
23.0,0.0,1.0,352573.3500000007,0.0,0.0,1.
24.0,0.0,1.0,449754.3500000007,0.0,0.0,1.
25.0,0.0,0.0,516306.3500000007,0.0,0.0,1.
26.0,0.0,0.0,519998.3500000007,0.0,0.0,1.
27.0,0.0,0.0,599515.3500000007,0.0,0.0,1.
28.0,0.0,0.0,572505.3500000007,0.0,0.0,1.
29.0,0.0,0.0,569207.3500000007,0.0,0.0,1.
30.0,0.0,1.0,535565.3500000007,0.0,0.0,1.
31.0,0.0,0.0,519966.3500000007,0.0,0.0,1.
32.0,0.0,1.0,615868.3500000007,0.0,0.0,1.
33.0,0.0,1.0,643442.3500000007,0.0,0.0,1.
34.0,0.0,1.0,525448.3500000007,0.0,0.0,1.
35.0,0.0,1.0,556972.3500000007,0.0,0.0,1.
36.0,0.0,1.0,585786.3500000007,0.0,0.0,1.
37.0,0.0,1.0,638536.3500000007,0.0,0.0,1.
38.0,0.0,0.0,487605.3500000007,0.0,0.0,1.
39.0,0.0,0.0,410959.3500000007,0.0,0.0,1.
40.0,0.0,0.0,449167.3500000007,0.0,0.0,1.
41.0,0.0,0.0,487625.3500000007,0.0,0.0,1.
42.0,0.0,0.0,485119.3500000007,0.0,0.0,1.
43.0,0.0,0.0,438741.3500000007,0.0,0.0,1.
44.0,0.0,0.0,522715.3500000007,0.0,0.0,1.
45.0,0.0,1.0,397110.3500000007,0.0,0.0,1.
46.0,0.0,0.0,371019.3500000007,0.0,0.0,1.
47.0,0.0,0.0,322288.3500000007,0.0,0.0,1.
48.0,0.0,0.0,444247.3500000007,0.0,0.0,1.
49.0,0.0,0.0,363417.3500000007,0.0,0.0,1.
50.0,0.0,0.0,393283.3500000007,0.0,0.0,1.
51.0,0.0,0.0,442344.3500000007,0.0,0.0,1.
52.0,0.0,0.0,418938.3500000007,0.0,0.0,1.
53.0,0.0,0.0,495182.3500000007,0.0,0.0,1.
54.0,0.0,0.0,501210.3500000007,0.0,0.0,1.
55.0,0.0,0.0,386986.3500000007,0.0,0.0,1.
56.0,0.0,0.0,383720.3500000007,0.0,0.0,1.
57.0,0.0,0.0,514495.3500000007,0.0,0.0,1.
58.0,0.0,0.0,436113.3500000007,0.0,0.0,1.
59.0,0.0,0.0,350111.3500000007,0.0,0.0,1.
60.0,0.0,0.0,691738.3500000007,0.0,0.0,1.
61.0,0.0,0.0,556920.3500000007,0.0,0.0,1.
62.0,0.0,0.0,599453.3500000007,0.0,0.0,1.
63.0,0.0,0.0,482333.3500000007,0.0,0.0,1.
64.0,0.0,0.0,536076.3500000007,0.0,0.0,1.
65.0,0.0,0.0,502127.3500000007,0.0,0.0,1.
66.0,0.0,0.0,487913.3500000007,0.0,0.0,1.
67.0,0.0,0.0,482860.3500000007,0.0,0.0,1.
68.0,0.0,0.0,481934.3500000007,0.0,0.0,1.
69.0,0.0,0.0,530237.3500000007,0.0,0.0,1.
70.0,0.0,0.0,562980.3500000007,0.0,0.0,1.
71.0,0.0,0.0,545096.3500000007,0.0,0.0,1.
72.0,0.0,1.0,424110.3500000007,0.0,0.0,1.
73.0,0.0,0.0,325146.3500000007,0.0,0.0,1.
74.0,0.0,0.0,555154.3500000007,0.0,0.0,1.
75.0,0.0,0.0,685553.3500000007,0.0,0.0,1.
76.0,0.0,0.0,615664.3500000007,0.0,0.0,1.
77.0,0.0,1.0,500484.3500000007,0.0,0.0,1.
78.0,0.0,1.0,535451.3500000007,0.0,0.0,1.
79.0,0.0,1.0,527647.3500000007,0.0,0.0,1.
80.0,0.0,1.0,495911.3500000007,0.0,0.0,1.
81.0,0.0,1.0,491351.3500000007,0.0,0.0,1.
82.0,0.0,1.0,516016.3500000007,0.0,0.0,1.
83.0,0.0,0.0,478560.3500000007,0.0,0.0,1.
84.0,0.0,0.0,470203.3500000007,0.0,0.0,1.
85.0,0.0,0.0,273701.3500000007,0.0,0.0,1.
86.0,0.0,1.0,334223.3500000007,0.0,0.0,1.
87.0,0.0,1.0,470376.3500000007,0.0,0.0,1.
88.0,0.0,0.0,514569.3500000007,0.0,0.0,1.
89.0,0.0,0.0,566645.3500000007,0.0,0.0,1.
90.0,0.0,0.0,470459.3500000007,0.0,0.0,1.
91.0,0.0,0.0,379845.3500000007,0.0,0.0,1.
92.0,0.0,0.0,346275.3500000007,0.0,0.0,1.
93.0,0.0,0.0,363565.3500000007,0.0,0.0,1.
94.0,0.0,0.0,384471.3500000007,0.0,0.0,1.
95.0,0.0,0.0,336270.3500000007,0.0,0.0,1.
96.0,0.0,0.0,400338.3500000007,0.0,0.0,1.
97.0,0.0,0.0,381141.3500000007,0.0,0.0,1.
98.0,0.0,0.0,370237.3500000007,0.0,0.0,1.
99.0,0.0,0.0,516574.3500000007,0.0,0.0,1.
100.0,0.0,1.0,476771.3500000007,0.0,0.0,1.
101.0,0.0,0.0,334537.3500000007,0.0,0.0,1.
102.0,0.0,0.0,541476.3500000007,0.0,0.0,1.
103.0,0.0,0.0,473540.3500000007,0.0,0.0,1.
104.0,0.0,0.0,449083.3500000007,0.0,0.0,1.
105.0,0.0,1.0,483594.3500000007,0.0,0.0,1.
106.0,0.0,1.0,631416.3500000007,0.0,0.0,1.
107.0,0.0,1.0,729522.3500000007,0.0,0.0,1.
108.0,0.0,0.0,475347.3500000007,0.0,0.0,1.
109.0,0.0,0.0,577474.3500000007,0.0,0.0,1.
110.0,0.0,0.0,388864.3500000007,0.0,0.0,1.
111.0,0.0,0.0,414229.3500000007,0.0,0.0,1.
112.0,0.0,0.0,496812.3500000007,0.0,0.0,1.
113.0,0.0,0.0,335603.3500000007,0.0,0.0,1.
114.0,0.0,1.0,386048.3500000007,0.0,0.0,1.
115.0,0.0,0.0,512073.3500000007,0.0,0.0,1.
116.0,0.0,0.0,486116.3500000007,0.0,0.0,1.
117.0,0.0,0.0,471294.3500000007,0.0,0.0,1.
118.0,0.0,0.0,470920.3500000007,0.0,0.0,1.
119.0,0.0,0.0,382532.3500000007,0.0,0.0,1.
120.0,0.0,0.0,469469.3500000007,0.0,0.0,1.
121.0,0.0,1.0,529580.3500000007,0.0,0.0,1.
122.0,0.0,0.0,474663.3500000007,0.0,0.0,1.
123.0,0.0,1.0,432751.3500000007,0.0,0.0,1.
124.0,0.0,1.0,455352.3500000007,0.0,0.0,1.
125.0,0.0,1.0,421703.3500000007,0.0,0.0,1.
126.0,0.0,0.0,700908.3500000007,0.0,0.0,1.
127.0,0.0,0.0,612128.3500000007,0.0,0.0,1.
128.0,0.0,0.0,560248.3500000007,0.0,0.0,1.
129.0,0.0,0.0,534687.3500000007,0.0,0.0,1.
130.0,0.0,0.0,519546.3500000007,0.0,0.0,1.
131.0,0.0,0.0,477749.3500000007,0.0,0.0,1.
132.0,0.0,0.0,467699.3500000007,0.0,0.0,1.
133.0,0.0,0.0,474922.3500000007,0.0,0.0,1.
134.0,0.0,0.0,459982.3500000007,0.0,0.0,1.
135.0,0.0,1.0,654867.3500000007,0.0,0.0,1.
136.0,0.0,0.0,454495.3500000007,0.0,0.0,1.
137.0,0.0,0.0,282323.3500000007,0.0,0.0,1.
138.0,0.0,0.0,404249.3500000007,0.0,0.0,1.
139.0,0.0,0.0,385328.3500000007,0.0,0.0,1.
140.0,0.0,0.0,415661.3500000007,0.0,0.0,1.
141.0,0.0,0.0,399021.3500000007,0.0,0.0,1.
142.0,0.0,0.0,501547.3500000007,0.0,0.0,1.
143.0,0.0,0.0,477229.3500000007,0.0,0.0,1.
144.0,0.0,0.0,402751.3500000007,0.0,0.0,1.
145.0,0.0,0.0,484157.3500000007,0.0,0.0,1.
146.0,0.0,0.0,418837.3500000007,0.0,0.0,1.
147.0,0.0,0.0,402227.3500000007,0.0,0.0,1.
148.0,0.0,0.0,465211.3500000007,0.0,0.0,1.
149.0,0.0,0.0,465154.3500000007,0.0,0.0,1.
150.0,0.0,1.0,588528.3500000007,0.0,0.0,1.
151.0,0.0,0.0,562280.3500000007,0.0,0.0,1.
152.0,0.0,1.0,515883.3500000007,0.0,0.0,1.
153.0,0.0,0.0,472179.3500000007,0.0,0.0,1.
154.0,0.0,1.0,452374.3500000007,0.0,0.0,1.
155.0,0.0,1.0,450101.3500000007,0.0,0.0,1.
156.0,0.0,1.0,405308.3500000007,0.0,0.0,1.
157.0,0.0,0.0,421667.3500000007,0.0,0.0,1.
158.0,0.0,0.0,445047.3500000007,0.0,0.0,1.
159.0,0.0,0.0,409793.3500000007,0.0,0.0,1.
160.0,0.0,0.0,576222.3500000007,0.0,0.0,1.
161.0,0.0,0.0,553283.3500000007,0.0,0.0,1.
162.0,0.0,0.0,419619.3500000007,0.0,0.0,1.
163.0,0.0,0.0,424549.3500000007,0.0,0.0,1.
164.0,0.0,1.0,494135.3500000007,0.0,0.0,1.
165.0,0.0,1.0,572133.3500000007,0.0,0.0,1.
166.0,0.0,1.0,592589.3500000007,0.0,0.0,1.
167.0,0.0,1.0,502188.3500000007,0.0,0.0,1.
168.0,0.0,1.0,349633.3500000007,0.0,0.0,1.
169.0,0.0,0.0,461892.3500000007,0.0,0.0,1.
170.0,0.0,0.0,466769.3500000007,0.0,0.0,1.
171.0,0.0,0.0,561513.3500000007,0.0,0.0,1.
172.0,0.0,0.0,549123.3500000007,0.0,0.0,1.
173.0,0.0,0.0,519638.3500000007,0.0,0.0,1.
174.0,0.0,0.0,521403.3500000007,0.0,0.0,1.
175.0,0.0,0.0,506008.3500000007,0.0,0.0,1.
176.0,0.0,0.0,452117.3500000007,0.0,0.0,1.
177.0,0.0,0.0,489387.3500000007,0.0,0.0,1.
178.0,0.0,0.0,350292.3500000007,0.0,0.0,1.
179.0,0.0,0.0,329212.3500000007,0.0,0.0,1.
180.0,0.0,0.0,324132.3500000007,0.0,0.0,1.
181.0,0.0,0.0,303026.3500000007,0.0,0.0,1.
182.0,0.0,0.0,336540.3500000007,0.0,0.0,1.
183.0,0.0,1.0,602916.3500000007,0.0,0.0,1.
184.0,0.0,0.0,568267.3500000007,0.0,0.0,1.
185.0,0.0,0.0,406316.3500000007,0.0,0.0,1.
186.0,0.0,0.0,539388.3500000007,0.0,0.0,1.
187.0,0.0,0.0,477373.3500000007,0.0,0.0,1.
188.0,0.0,0.0,338282.3500000007,0.0,0.0,1.
189.0,0.0,0.0,328176.3500000007,0.0,0.0,1.
190.0,0.0,0.0,421338.3500000007,0.0,0.0,1.
191.0,0.0,0.0,436672.3500000007,0.0,0.0,1.
192.0,0.0,0.0,367606.3500000007,0.0,0.0,1.
193.0,0.0,0.0,562368.3500000007,0.0,0.0,1.
194.0,0.0,1.0,384012.3500000007,0.0,0.0,1.
195.0,0.0,1.0,420330.3500000007,0.0,0.0,1.
196.0,0.0,1.0,316157.3500000007,0.0,0.0,1.
197.0,0.0,1.0,326156.3500000007,0.0,0.0,1.
198.0,0.0,1.0,352279.3500000007,0.0,0.0,1.
199.0,0.0,1.0,374205.3500000007,0.0,0.0,1.
200.0,0.0,0.0,390509.3500000007,0.0,0.0,1.
201.0,0.0,1.0,542370.3500000007,0.0,0.0,1.
202.0,0.0,0.0,344212.3500000007,0.0,0.0,1.
203.0,0.0,0.0,361705.3500000007,0.0,0.0,1.
204.0,0.0,0.0,370508.3500000007,0.0,0.0,1.
205.0,0.0,0.0,320764.3500000007,0.0,0.0,1.
206.0,0.0,0.0,348048.3500000007,0.0,0.0,1.
207.0,0.0,0.0,367976.3500000007,0.0,0.0,1.
208.0,0.0,0.0,365739.3500000007,0.0,0.0,1.
209.0,0.0,0.0,424603.3500000007,0.0,0.0,1.
210.0,0.0,0.0,537334.3500000007,0.0,0.0,1.
211.0,0.0,1.0,346081.3500000007,0.0,0.0,1.
212.0,0.0,0.0,315826.3500000007,0.0,0.0,1.
213.0,0.0,0.0,441282.3500000007,0.0,0.0,1.
214.0,0.0,0.0,366148.3500000007,0.0,0.0,1.
215.0,0.0,0.0,316701.3500000007,0.0,0.0,1.
216.0,0.0,0.0,379089.3500000007,0.0,0.0,1.
217.0,0.0,0.0,287381.3500000007,0.0,0.0,1.
218.0,0.0,0.0,501985.3500000007,0.0,0.0,1.
219.0,0.0,0.0,259791.35000000068,0.0,0.0,1.
220.0,0.0,0.0,374803.3500000007,0.0,0.0,1.
221.0,0.0,0.0,570603.3500000007,0.0,0.0,1.
222.0,0.0,0.0,575583.3500000007,0.0,0.0,1.
223.0,0.0,0.0,314864.3500000007,0.0,0.0,1.
224.0,0.0,0.0,369318.3500000007,0.0,0.0,1.
225.0,0.0,0.0,396615.3500000007,0.0,0.0,1.
226.0,0.0,0.0,325767.3500000007,0.0,0.0,1.
227.0,0.0,0.0,320964.3500000007,0.0,0.0,1.
228.0,0.0,0.0,375634.3500000007,0.0,0.0,1.
229.0,0.0,0.0,359150.3500000007,0.0,0.0,1.
230.0,0.0,0.0,303041.3500000007,0.0,0.0,1.
231.0,0.0,0.0,316052.3500000007,0.0,0.0,1.
232.0,0.0,0.0,288833.3500000007,0.0,0.0,1.
