Water_Detected,Hands_in_Water,Soap_Score,Expected_Water_Detection,Expected_Water_Location,Expected_Soap_Score
1.0,0.0,1.0,531661.7578947351,0.0,0.0,1.
2.0,0.0,1.0,537954.7578947351,0.0,0.0,1.
3.0,0.0,1.0,559454.7578947351,0.0,0.0,1.
4.0,0.0,1.0,572768.7578947351,0.0,0.0,1.
5.0,0.0,1.0,571138.7578947351,0.0,0.0,1.
6.0,0.0,1.0,563606.7578947351,0.0,0.0,1.
7.0,0.0,1.0,562469.7578947351,0.0,0.0,1.
8.0,0.0,1.0,563774.7578947351,0.0,0.0,1.
9.0,0.0,1.0,558135.7578947351,0.0,0.0,1.
10.0,0.0,1.0,556796.7578947351,0.0,0.0,1.
11.0,0.0,1.0,566562.7578947351,0.0,0.0,1.
12.0,0.0,1.0,593053.7578947351,0.0,0.0,1.
13.0,0.0,1.0,676191.7578947351,0.0,0.0,1.
14.0,0.0,1.0,617563.7578947351,0.0,0.0,1.
15.0,0.0,1.0,552559.7578947351,0.0,0.0,1.
16.0,0.0,1.0,613502.7578947351,0.0,0.0,1.
17.0,0.0,0.0,659824.7578947351,0.0,0.0,1.
18.0,0.0,1.0,616601.7578947351,0.0,0.0,1.
19.0,0.0,1.0,638697.7578947351,0.0,0.0,1.
20.0,0.0,1.0,612045.7578947351,0.0,0.0,1.
21.0,0.0,1.0,654385.7578947351,0.0,0.0,1.
22.0,0.0,1.0,680343.7578947351,0.0,0.0,1.
23.0,0.0,1.0,605168.7578947351,0.0,0.0,1.
24.0,0.0,1.0,616032.7578947351,0.0,0.0,1.
25.0,0.0,1.0,541072.7578947351,0.0,0.0,1.
26.0,0.0,1.0,487957.7578947351,0.0,0.0,1.
27.0,0.0,1.0,450472.7578947351,0.0,0.0,1.
28.0,0.0,1.0,458191.7578947351,0.0,0.0,1.
29.0,0.0,1.0,382277.7578947351,0.0,0.0,1.
30.0,0.0,1.0,408169.7578947351,0.0,0.0,1.
31.0,0.0,1.0,449101.7578947351,0.0,0.0,1.
32.0,0.0,1.0,507049.7578947351,0.0,0.0,1.
33.0,0.0,1.0,644917.7578947351,0.0,0.0,1.
34.0,0.0,1.0,748343.7578947351,0.0,0.0,1.
35.0,0.0,1.0,800529.7578947351,0.0,0.0,1.
36.0,0.0,1.0,791133.7578947351,0.0,0.0,1.
37.0,0.0,1.0,548276.7578947351,0.0,0.0,1.
38.0,0.0,1.0,463928.7578947351,0.0,0.0,1.
39.0,0.0,1.0,471667.7578947351,0.0,0.0,1.
40.0,0.0,1.0,432971.7578947351,0.0,0.0,1.
41.0,0.0,1.0,421160.7578947351,0.0,0.0,1.
42.0,0.0,1.0,471049.7578947351,0.0,0.0,1.
43.0,0.0,1.0,566170.7578947351,0.0,0.0,1.
44.0,0.0,1.0,492131.7578947351,0.0,0.0,1.
