Frame_Num,Water_Detected,Hands_in_Water,Soap_Score,Expected_Water_Detection,Expected_Water_Location,Expected_Soap_Score
1.0,0.0,1.0,833399.3928571413,0.0,0.0,1.
2.0,0.0,1.0,801947.3928571413,0.0,0.0,1.
3.0,0.0,1.0,759564.3928571413,0.0,0.0,1.
4.0,0.0,1.0,800757.3928571413,0.0,0.0,1.
5.0,0.0,1.0,816068.3928571413,0.0,0.0,1.
6.0,0.0,1.0,797186.3928571413,0.0,0.0,1.
7.0,0.0,1.0,795670.3928571413,0.0,0.0,1.
8.0,0.0,1.0,806152.3928571413,0.0,0.0,1.
9.0,0.0,1.0,830020.3928571413,0.0,0.0,1.
10.0,0.0,1.0,824023.3928571413,0.0,0.0,1.
11.0,0.0,1.0,829209.3928571413,0.0,0.0,1.
12.0,0.0,1.0,822237.3928571413,0.0,0.0,1.
13.0,0.0,1.0,808138.3928571413,0.0,0.0,1.
14.0,0.0,1.0,806453.3928571413,0.0,0.0,1.
15.0,0.0,1.0,796097.3928571413,0.0,0.0,1.
16.0,0.0,1.0,789757.3928571413,0.0,0.0,1.
17.0,0.0,1.0,809821.3928571413,0.0,0.0,1.
18.0,0.0,1.0,748646.3928571413,0.0,0.0,1.
19.0,0.0,1.0,787587.3928571413,0.0,0.0,1.
20.0,0.0,1.0,771967.3928571413,0.0,0.0,1.
21.0,0.0,1.0,804282.3928571413,0.0,0.0,1.
22.0,0.0,1.0,788461.3928571413,0.0,0.0,1.
23.0,0.0,1.0,756655.3928571413,0.0,0.0,1.
24.0,0.0,1.0,622445.3928571413,0.0,0.0,1.
25.0,0.0,1.0,482598.3928571413,0.0,0.0,1.
26.0,0.0,1.0,593255.3928571413,0.0,0.0,1.
27.0,0.0,1.0,487397.3928571413,0.0,0.0,1.
28.0,0.0,1.0,400245.3928571413,0.0,0.0,1.
29.0,0.0,1.0,387737.3928571413,0.0,0.0,1.
30.0,0.0,1.0,402056.3928571413,0.0,0.0,1.
31.0,0.0,1.0,410529.3928571413,0.0,0.0,1.
32.0,0.0,1.0,453469.3928571413,0.0,0.0,1.
33.0,0.0,1.0,417908.3928571413,0.0,0.0,1.
34.0,0.0,1.0,599481.3928571413,0.0,0.0,1.
35.0,0.0,1.0,507637.3928571413,0.0,0.0,1.
36.0,0.0,1.0,464183.3928571413,0.0,0.0,1.
37.0,0.0,1.0,621058.3928571413,0.0,0.0,1.
38.0,0.0,1.0,664663.3928571413,0.0,0.0,1.
39.0,0.0,1.0,719004.3928571413,0.0,0.0,1.
40.0,0.0,1.0,724026.3928571413,0.0,0.0,1.
41.0,0.0,1.0,728075.3928571413,0.0,0.0,1.
42.0,0.0,1.0,736796.3928571413,0.0,0.0,1.
43.0,0.0,1.0,719245.3928571413,0.0,0.0,1.
44.0,0.0,1.0,676991.3928571413,0.0,0.0,1.
45.0,0.0,1.0,673770.3928571413,0.0,0.0,1.
46.0,0.0,1.0,636042.3928571413,0.0,0.0,1.
47.0,0.0,1.0,584610.3928571413,0.0,0.0,1.
48.0,0.0,1.0,488858.3928571413,0.0,0.0,1.
49.0,0.0,1.0,480904.3928571413,0.0,0.0,1.
50.0,0.0,1.0,540236.3928571413,0.0,0.0,1.
51.0,0.0,1.0,487570.3928571413,0.0,0.0,1.
52.0,0.0,1.0,538832.3928571413,0.0,0.0,1.
53.0,0.0,1.0,526096.3928571413,0.0,0.0,1.
54.0,0.0,1.0,544458.3928571413,0.0,0.0,1.
55.0,0.0,1.0,583405.3928571413,0.0,0.0,1.
56.0,0.0,1.0,639663.3928571413,0.0,0.0,1.
57.0,0.0,1.0,658535.3928571413,0.0,0.0,1.
58.0,0.0,1.0,639517.3928571413,0.0,0.0,1.
59.0,0.0,1.0,654362.3928571413,0.0,0.0,1.
60.0,0.0,1.0,668056.3928571413,0.0,0.0,1.
61.0,0.0,1.0,658171.3928571413,0.0,0.0,1.
62.0,0.0,1.0,555591.3928571413,0.0,0.0,1.
63.0,0.0,1.0,430029.6071428587,0.0,0.0,1.
64.0,0.0,1.0,441758.6071428587,0.0,0.0,1.
65.0,0.0,1.0,404761.3928571413,0.0,0.0,1.
66.0,0.0,1.0,359309.3928571413,0.0,0.0,1.
67.0,0.0,1.0,498590.3928571413,0.0,0.0,1.
68.0,0.0,1.0,495316.3928571413,0.0,0.0,1.
69.0,0.0,1.0,410237.3928571413,0.0,0.0,1.
70.0,0.0,1.0,493285.3928571413,0.0,0.0,1.
71.0,0.0,1.0,456336.3928571413,0.0,0.0,1.
72.0,0.0,1.0,602385.3928571413,0.0,0.0,1.
73.0,0.0,1.0,506997.3928571413,0.0,0.0,1.
74.0,0.0,1.0,418226.3928571413,0.0,0.0,1.
75.0,0.0,1.0,447963.3928571413,0.0,0.0,1.
76.0,0.0,1.0,371631.3928571413,0.0,0.0,1.
77.0,0.0,1.0,529236.3928571413,0.0,0.0,1.
78.0,0.0,1.0,576187.3928571413,0.0,0.0,1.
79.0,0.0,1.0,570750.3928571413,0.0,0.0,1.
80.0,0.0,1.0,530405.3928571413,0.0,0.0,1.
81.0,0.0,1.0,602382.3928571413,0.0,0.0,1.
82.0,0.0,1.0,630641.3928571413,0.0,0.0,1.
83.0,0.0,1.0,526293.3928571413,0.0,0.0,1.
84.0,0.0,1.0,603210.3928571413,0.0,0.0,1.
85.0,0.0,1.0,527411.3928571413,0.0,0.0,1.
86.0,0.0,1.0,452160.3928571413,0.0,0.0,1.
87.0,0.0,1.0,559558.3928571413,0.0,0.0,1.
88.0,0.0,1.0,585272.3928571413,0.0,0.0,1.
89.0,0.0,1.0,438184.3928571413,0.0,0.0,1.
90.0,0.0,1.0,430165.6071428587,0.0,0.0,1.
91.0,0.0,1.0,447048.6071428587,0.0,0.0,1.
92.0,0.0,1.0,557558.3928571413,0.0,0.0,1.
93.0,0.0,1.0,441954.3928571413,0.0,0.0,1.
94.0,0.0,1.0,614909.3928571413,0.0,0.0,1.
95.0,0.0,1.0,399099.3928571413,0.0,0.0,1.
96.0,0.0,1.0,437782.3928571413,0.0,0.0,1.
97.0,0.0,1.0,494677.3928571413,0.0,0.0,1.
98.0,0.0,1.0,625004.3928571413,0.0,0.0,1.
99.0,0.0,1.0,424727.3928571413,0.0,0.0,1.
100.0,0.0,1.0,412182.6071428587,0.0,0.0,1.
101.0,0.0,1.0,481984.3928571413,0.0,0.0,1.
102.0,0.0,1.0,461232.3928571413,0.0,0.0,1.
103.0,0.0,1.0,489644.3928571413,0.0,0.0,1.
104.0,0.0,1.0,553945.3928571413,0.0,0.0,1.
105.0,0.0,1.0,699064.3928571413,0.0,0.0,1.
106.0,0.0,1.0,420244.3928571413,0.0,0.0,1.
107.0,0.0,1.0,458371.3928571413,0.0,0.0,1.
108.0,0.0,1.0,564306.3928571413,0.0,0.0,1.
109.0,0.0,1.0,617596.3928571413,0.0,0.0,1.
110.0,0.0,1.0,517874.3928571413,0.0,0.0,1.
111.0,0.0,1.0,581148.3928571413,0.0,0.0,1.
112.0,0.0,1.0,584391.3928571413,0.0,0.0,1.
113.0,0.0,1.0,426844.3928571413,0.0,0.0,1.
114.0,0.0,1.0,318143.3928571413,0.0,0.0,1.
115.0,0.0,1.0,359772.6071428587,0.0,0.0,1.
116.0,0.0,1.0,453349.6071428587,0.0,0.0,1.
117.0,0.0,1.0,504481.6071428587,0.0,0.0,1.
118.0,0.0,1.0,433560.6071428587,0.0,0.0,1.
119.0,0.0,1.0,321525.3928571413,0.0,0.0,1.
120.0,0.0,1.0,257625.39285714133,0.0,0.0,1.
121.0,0.0,1.0,497759.6071428587,0.0,0.0,1.
122.0,0.0,1.0,407235.6071428587,0.0,0.0,1.
123.0,0.0,1.0,514286.6071428587,0.0,0.0,1.
124.0,0.0,1.0,514352.6071428587,0.0,0.0,1.
125.0,0.0,1.0,597148.3928571413,0.0,0.0,1.
126.0,0.0,1.0,459388.6071428587,0.0,0.0,1.
127.0,0.0,1.0,490290.6071428587,0.0,0.0,1.
128.0,0.0,1.0,448235.6071428587,0.0,0.0,1.
129.0,0.0,1.0,436791.6071428587,0.0,0.0,1.
130.0,0.0,1.0,443557.6071428587,0.0,0.0,1.
131.0,0.0,1.0,461454.6071428587,0.0,0.0,1.
132.0,0.0,1.0,455995.6071428587,0.0,0.0,1.
133.0,0.0,1.0,515421.3928571413,0.0,0.0,1.
134.0,0.0,1.0,528170.3928571413,0.0,0.0,1.
135.0,0.0,1.0,522953.3928571413,0.0,0.0,1.
136.0,0.0,1.0,546226.3928571413,0.0,0.0,1.
137.0,0.0,1.0,602396.3928571413,0.0,0.0,1.
138.0,0.0,1.0,582538.3928571413,0.0,0.0,1.
139.0,0.0,1.0,581236.3928571413,0.0,0.0,1.
140.0,0.0,1.0,623463.3928571413,0.0,0.0,1.
141.0,0.0,1.0,588976.3928571413,0.0,0.0,1.
142.0,0.0,1.0,656931.3928571413,0.0,0.0,1.
143.0,0.0,1.0,671740.3928571413,0.0,0.0,1.
144.0,0.0,1.0,616069.3928571413,0.0,0.0,1.
145.0,0.0,1.0,615514.3928571413,0.0,0.0,1.
146.0,0.0,1.0,648376.3928571413,0.0,0.0,1.
147.0,0.0,1.0,647800.3928571413,0.0,0.0,1.
148.0,0.0,1.0,640243.3928571413,0.0,0.0,1.
149.0,0.0,1.0,641420.3928571413,0.0,0.0,1.
