Frame_Num,Water_Detected,Hands_in_Water,Soap_Score,Expected_Water_Detection,Expected_Water_Location,Expected_Soap_Score
1.0,0.0,1.0,604513.8095238061,0.0,0.0,1.
2.0,0.0,1.0,772649.8095238061,0.0,0.0,1.
3.0,0.0,1.0,744658.8095238061,0.0,0.0,1.
4.0,0.0,1.0,613935.8095238061,0.0,0.0,1.
5.0,0.0,1.0,561311.8095238061,0.0,0.0,1.
6.0,0.0,1.0,562371.8095238061,0.0,0.0,1.
7.0,0.0,1.0,546143.8095238061,0.0,0.0,1.
8.0,0.0,1.0,523758.8095238061,0.0,0.0,1.
9.0,0.0,1.0,471167.8095238061,0.0,0.0,1.
10.0,0.0,1.0,567163.8095238061,0.0,0.0,1.
11.0,0.0,1.0,923617.8095238061,0.0,0.0,1.
12.0,0.0,1.0,585133.8095238061,0.0,0.0,1.
13.0,0.0,1.0,674849.8095238061,0.0,0.0,1.
14.0,0.0,1.0,637052.8095238061,0.0,0.0,1.
15.0,0.0,1.0,676463.8095238061,0.0,0.0,1.
16.0,0.0,1.0,654381.8095238061,0.0,0.0,1.
17.0,0.0,1.0,635253.8095238061,0.0,0.0,1.
18.0,0.0,1.0,623927.8095238061,0.0,0.0,1.
19.0,0.0,1.0,722363.8095238061,0.0,0.0,1.
20.0,0.0,1.0,739493.8095238061,0.0,0.0,1.
21.0,0.0,1.0,660851.8095238061,0.0,0.0,1.
22.0,0.0,1.0,650665.8095238061,0.0,0.0,1.
23.0,0.0,1.0,594317.8095238061,0.0,0.0,1.
24.0,0.0,1.0,626168.8095238061,0.0,0.0,1.
25.0,0.0,1.0,586008.8095238061,0.0,0.0,1.
26.0,0.0,1.0,504848.8095238061,0.0,0.0,1.
27.0,0.0,1.0,422416.8095238061,0.0,0.0,1.
28.0,0.0,1.0,354564.8095238061,0.0,0.0,1.
29.0,0.0,1.0,358048.8095238061,0.0,0.0,1.
30.0,0.0,1.0,357692.8095238061,0.0,0.0,1.
31.0,0.0,1.0,349237.8095238061,0.0,0.0,1.
32.0,0.0,1.0,377359.8095238061,0.0,0.0,1.
33.0,0.0,1.0,387626.8095238061,0.0,0.0,1.
34.0,0.0,1.0,441160.8095238061,0.0,0.0,1.
35.0,0.0,1.0,383055.8095238061,0.0,0.0,1.
36.0,0.0,1.0,436250.8095238061,0.0,0.0,1.
37.0,0.0,1.0,429052.8095238061,0.0,0.0,1.
38.0,0.0,1.0,385999.8095238061,0.0,0.0,1.
39.0,0.0,1.0,372267.8095238061,0.0,0.0,1.
40.0,0.0,1.0,312629.8095238061,0.0,0.0,1.
41.0,0.0,1.0,497158.8095238061,0.0,0.0,1.
42.0,0.0,1.0,416673.8095238061,0.0,0.0,1.
43.0,0.0,1.0,437655.8095238061,0.0,0.0,1.
44.0,0.0,1.0,413581.8095238061,0.0,0.0,1.
45.0,0.0,1.0,231042.1904761939,0.0,0.0,1.
46.0,0.0,1.0,362073.8095238061,0.0,0.0,1.
47.0,0.0,1.0,515036.8095238061,0.0,0.0,1.
48.0,0.0,1.0,452174.8095238061,0.0,0.0,1.
49.0,0.0,1.0,364249.8095238061,0.0,0.0,1.
50.0,0.0,1.0,438702.8095238061,0.0,0.0,1.
51.0,0.0,1.0,457886.8095238061,0.0,0.0,1.
52.0,0.0,1.0,349769.8095238061,0.0,0.0,1.
53.0,0.0,1.0,410637.8095238061,0.0,0.0,1.
54.0,0.0,1.0,345527.8095238061,0.0,0.0,1.
55.0,0.0,1.0,468951.8095238061,0.0,0.0,1.
56.0,0.0,1.0,458085.8095238061,0.0,0.0,1.
57.0,0.0,1.0,349782.8095238061,0.0,0.0,1.
58.0,0.0,1.0,587839.8095238061,0.0,0.0,1.
59.0,0.0,1.0,459158.8095238061,0.0,0.0,1.
60.0,0.0,1.0,385156.8095238061,0.0,0.0,1.
61.0,0.0,1.0,362678.8095238061,0.0,0.0,1.
62.0,0.0,1.0,352032.8095238061,0.0,0.0,1.
63.0,0.0,1.0,383381.8095238061,0.0,0.0,1.
64.0,0.0,1.0,327836.8095238061,0.0,0.0,1.
65.0,0.0,1.0,416842.8095238061,0.0,0.0,1.
66.0,0.0,1.0,484972.8095238061,0.0,0.0,1.
67.0,0.0,1.0,488070.8095238061,0.0,0.0,1.
68.0,0.0,1.0,521066.8095238061,0.0,0.0,1.
69.0,0.0,1.0,501716.8095238061,0.0,0.0,1.
70.0,0.0,0.0,578168.8095238061,0.0,0.0,1.
71.0,0.0,1.0,407706.8095238061,0.0,0.0,1.
72.0,0.0,1.0,301860.1904761939,0.0,0.0,1.
73.0,0.0,1.0,297022.1904761939,0.0,0.0,1.
74.0,0.0,0.0,290763.1904761939,0.0,0.0,1.
75.0,0.0,0.0,304700.1904761939,0.0,0.0,1.
76.0,0.0,0.0,262321.1904761939,0.0,0.0,1.
77.0,0.0,1.0,259730.1904761939,0.0,0.0,1.
78.0,0.0,1.0,263307.1904761939,0.0,0.0,1.
79.0,0.0,1.0,321160.8095238061,0.0,0.0,1.
80.0,0.0,1.0,302124.1904761939,0.0,0.0,1.
81.0,0.0,1.0,302514.8095238061,0.0,0.0,1.
82.0,0.0,1.0,339400.8095238061,0.0,0.0,1.
83.0,0.0,1.0,330718.8095238061,0.0,0.0,1.
84.0,0.0,1.0,301012.8095238061,0.0,0.0,1.
85.0,0.0,1.0,349564.8095238061,0.0,0.0,1.
86.0,0.0,1.0,298424.8095238061,0.0,0.0,1.
87.0,0.0,0.0,385231.8095238061,0.0,0.0,1.
88.0,0.0,0.0,226354.1904761939,0.0,0.0,1.
89.0,0.0,0.0,340394.8095238061,0.0,0.0,1.
90.0,0.0,0.0,244797.1904761939,0.0,0.0,1.
91.0,0.0,0.0,225977.1904761939,0.0,0.0,1.
92.0,0.0,0.0,231776.1904761939,0.0,0.0,1.
93.0,0.0,0.0,225137.1904761939,0.0,0.0,1.
94.0,0.0,1.0,240009.1904761939,0.0,0.0,1.
95.0,0.0,1.0,238470.1904761939,0.0,0.0,1.
96.0,0.0,1.0,250918.1904761939,0.0,0.0,1.
97.0,0.0,1.0,260273.1904761939,0.0,0.0,1.
98.0,0.0,1.0,276496.1904761939,0.0,0.0,1.
99.0,0.0,1.0,294088.1904761939,0.0,0.0,1.
100.0,0.0,1.0,304832.1904761939,0.0,0.0,1.
101.0,0.0,1.0,310310.1904761939,0.0,0.0,1.
102.0,0.0,1.0,305072.1904761939,0.0,0.0,1.
103.0,0.0,1.0,296439.1904761939,0.0,0.0,1.
104.0,0.0,1.0,291614.1904761939,0.0,0.0,1.
105.0,0.0,1.0,276986.1904761939,0.0,0.0,1.
106.0,0.0,1.0,276484.1904761939,0.0,0.0,1.
107.0,0.0,1.0,288277.1904761939,0.0,0.0,1.
108.0,0.0,1.0,293873.1904761939,0.0,0.0,1.
109.0,0.0,0.0,290066.1904761939,0.0,0.0,1.
110.0,0.0,1.0,292509.1904761939,0.0,0.0,1.
111.0,0.0,1.0,277749.1904761939,0.0,0.0,1.
112.0,0.0,1.0,389000.8095238061,0.0,0.0,1.
113.0,0.0,1.0,440621.8095238061,0.0,0.0,1.
114.0,0.0,1.0,589046.8095238061,0.0,0.0,1.
115.0,0.0,1.0,520424.8095238061,0.0,0.0,1.
116.0,0.0,1.0,480205.8095238061,0.0,0.0,1.
117.0,0.0,1.0,494653.8095238061,0.0,0.0,1.
118.0,0.0,1.0,411618.8095238061,0.0,0.0,1.
119.0,0.0,1.0,407767.8095238061,0.0,0.0,1.
120.0,0.0,1.0,369973.8095238061,0.0,0.0,1.
121.0,0.0,1.0,382521.8095238061,0.0,0.0,1.
