Water_Detected,Hands_in_Water,Soap_Score,Expected_Water_Detection,Expected_Water_Location,Expected_Soap_Score
1.0,0.0,1.0,240102.35000000068,0.0,0.0,0.
2.0,0.0,1.0,213531.35000000068,0.0,0.0,0.
3.0,0.0,1.0,205316.35000000068,0.0,0.0,0.
4.0,0.0,1.0,207591.35000000068,0.0,0.0,0.
5.0,0.0,1.0,214338.35000000068,0.0,0.0,0.
6.0,0.0,1.0,212627.35000000068,0.0,0.0,0.
7.0,0.0,1.0,238420.35000000068,0.0,0.0,0.
8.0,0.0,1.0,251634.35000000068,0.0,0.0,0.
9.0,0.0,1.0,254825.35000000068,0.0,0.0,0.
10.0,0.0,1.0,254881.35000000068,0.0,0.0,0.
11.0,0.0,1.0,257949.35000000068,0.0,0.0,0.
12.0,0.0,1.0,239619.35000000068,0.0,0.0,0.
13.0,0.0,1.0,279109.3500000007,0.0,0.0,0.
14.0,0.0,1.0,274018.3500000007,0.0,0.0,0.
15.0,0.0,1.0,258842.35000000068,0.0,0.0,0.
16.0,0.0,1.0,247554.35000000068,0.0,0.0,0.
17.0,0.0,1.0,257437.35000000068,0.0,0.0,0.
18.0,0.0,1.0,257809.35000000068,0.0,0.0,0.
19.0,0.0,1.0,263461.3500000007,0.0,0.0,0.
20.0,0.0,1.0,262964.3500000007,0.0,0.0,0.
21.0,0.0,1.0,262154.3500000007,0.0,0.0,0.
22.0,0.0,1.0,260468.35000000068,0.0,0.0,0.
23.0,0.0,1.0,249320.35000000068,0.0,0.0,0.
24.0,0.0,1.0,253309.35000000068,0.0,0.0,0.
25.0,0.0,1.0,272743.3500000007,0.0,0.0,0.
26.0,0.0,1.0,288819.3500000007,0.0,0.0,0.
27.0,0.0,1.0,290519.3500000007,0.0,0.0,0.
28.0,0.0,1.0,283658.3500000007,0.0,0.0,0.
29.0,0.0,1.0,272769.3500000007,0.0,0.0,0.
30.0,0.0,1.0,261174.35000000068,0.0,0.0,0.
31.0,0.0,1.0,227587.35000000068,0.0,0.0,0.
32.0,0.0,1.0,215382.64999999932,0.0,0.0,0.
33.0,0.0,1.0,220342.64999999932,0.0,0.0,0.
34.0,0.0,1.0,223789.64999999932,0.0,0.0,0.
35.0,0.0,1.0,209858.64999999932,0.0,0.0,0.
36.0,0.0,1.0,207761.64999999932,0.0,0.0,0.
37.0,0.0,1.0,197401.64999999932,0.0,0.0,0.
38.0,0.0,1.0,202023.35000000068,0.0,0.0,0.
39.0,0.0,1.0,200854.35000000068,0.0,0.0,0.
40.0,0.0,1.0,205605.35000000068,0.0,0.0,0.
41.0,0.0,1.0,216154.64999999932,0.0,0.0,0.
42.0,0.0,1.0,218923.64999999932,0.0,0.0,0.
43.0,0.0,1.0,257308.35000000068,0.0,0.0,0.
44.0,0.0,1.0,262685.3500000007,0.0,0.0,0.
45.0,0.0,1.0,252212.35000000068,0.0,0.0,0.
46.0,0.0,1.0,311377.3500000007,0.0,0.0,0.
47.0,0.0,1.0,309178.3500000007,0.0,0.0,0.
48.0,0.0,1.0,313465.3500000007,0.0,0.0,0.
49.0,0.0,1.0,325697.3500000007,0.0,0.0,0.
50.0,0.0,1.0,292591.3500000007,0.0,0.0,0.
51.0,0.0,1.0,251601.35000000068,0.0,0.0,0.
52.0,0.0,1.0,242220.64999999932,0.0,0.0,0.
53.0,0.0,1.0,260681.64999999932,0.0,0.0,0.
54.0,0.0,1.0,277817.6499999993,0.0,0.0,0.
55.0,0.0,1.0,290143.6499999993,0.0,0.0,0.
56.0,0.0,1.0,263156.6499999993,0.0,0.0,0.
57.0,0.0,1.0,262750.6499999993,0.0,0.0,0.
58.0,0.0,1.0,261504.64999999932,0.0,0.0,0.
59.0,0.0,1.0,290584.6499999993,0.0,0.0,0.
60.0,0.0,1.0,271214.6499999993,0.0,0.0,0.
61.0,0.0,1.0,259480.64999999932,0.0,0.0,0.
62.0,0.0,1.0,254798.64999999932,0.0,0.0,0.
63.0,0.0,1.0,249438.64999999932,0.0,0.0,0.
64.0,0.0,1.0,248951.64999999932,0.0,0.0,0.
65.0,0.0,1.0,261094.64999999932,0.0,0.0,0.
66.0,0.0,1.0,267618.6499999993,0.0,0.0,0.
67.0,0.0,1.0,258988.64999999932,0.0,0.0,0.
68.0,0.0,1.0,299571.6499999993,0.0,0.0,0.
69.0,0.0,1.0,275894.6499999993,0.0,0.0,0.
70.0,0.0,1.0,262547.6499999993,0.0,0.0,0.
71.0,0.0,1.0,251323.64999999932,0.0,0.0,0.
72.0,0.0,1.0,291686.3500000007,0.0,0.0,0.
73.0,0.0,1.0,326767.3500000007,0.0,0.0,0.
74.0,0.0,1.0,318229.3500000007,0.0,0.0,0.
75.0,0.0,1.0,248306.35000000068,0.0,0.0,0.
76.0,0.0,1.0,257593.35000000068,0.0,0.0,0.
77.0,0.0,1.0,271825.3500000007,0.0,0.0,0.
78.0,0.0,1.0,257327.35000000068,0.0,0.0,0.
79.0,0.0,1.0,322052.3500000007,0.0,0.0,0.
80.0,0.0,1.0,279072.3500000007,0.0,0.0,0.
81.0,0.0,1.0,326935.3500000007,0.0,0.0,0.
82.0,0.0,1.0,331705.3500000007,0.0,0.0,0.
83.0,0.0,1.0,334081.3500000007,0.0,0.0,0.
84.0,0.0,1.0,331123.3500000007,0.0,0.0,0.
85.0,0.0,1.0,331543.3500000007,0.0,0.0,0.
86.0,0.0,1.0,335072.3500000007,0.0,0.0,0.
87.0,0.0,1.0,247145.35000000068,0.0,0.0,0.
88.0,0.0,1.0,280288.3500000007,0.0,0.0,0.
89.0,0.0,1.0,273787.3500000007,0.0,0.0,0.
90.0,0.0,1.0,304369.3500000007,0.0,0.0,0.
91.0,0.0,1.0,290677.3500000007,0.0,0.0,0.
92.0,0.0,1.0,289291.6499999993,0.0,0.0,0.
93.0,0.0,1.0,295318.6499999993,0.0,0.0,0.
94.0,0.0,1.0,302594.6499999993,0.0,0.0,0.
95.0,0.0,1.0,294980.6499999993,0.0,0.0,0.
96.0,0.0,1.0,279941.6499999993,0.0,0.0,0.
97.0,0.0,1.0,295489.6499999993,0.0,0.0,0.
98.0,0.0,1.0,295848.6499999993,0.0,0.0,0.
99.0,0.0,1.0,304232.6499999993,0.0,0.0,0.
100.0,0.0,1.0,285888.6499999993,0.0,0.0,0.
101.0,0.0,1.0,283634.6499999993,0.0,0.0,0.
102.0,0.0,1.0,277565.6499999993,0.0,0.0,0.
103.0,0.0,1.0,279399.6499999993,0.0,0.0,0.
104.0,0.0,1.0,288119.6499999993,0.0,0.0,0.
105.0,0.0,1.0,282362.6499999993,0.0,0.0,0.
106.0,0.0,1.0,294593.6499999993,0.0,0.0,0.
107.0,0.0,1.0,292837.6499999993,0.0,0.0,0.
108.0,0.0,1.0,303343.6499999993,0.0,0.0,0.
109.0,0.0,1.0,304881.6499999993,0.0,0.0,0.
110.0,0.0,1.0,306294.6499999993,0.0,0.0,0.
111.0,0.0,1.0,290740.6499999993,0.0,0.0,0.
112.0,0.0,1.0,287181.6499999993,0.0,0.0,0.
113.0,0.0,1.0,317461.6499999993,0.0,0.0,0.
114.0,0.0,1.0,312026.6499999993,0.0,0.0,0.
115.0,0.0,1.0,297814.6499999993,0.0,0.0,0.
116.0,0.0,1.0,284398.6499999993,0.0,0.0,0.
117.0,0.0,1.0,299375.6499999993,0.0,0.0,0.
118.0,0.0,1.0,301226.6499999993,0.0,0.0,0.
119.0,0.0,1.0,292317.6499999993,0.0,0.0,0.
120.0,0.0,1.0,263991.6499999993,0.0,0.0,0.
121.0,0.0,1.0,270651.3500000007,0.0,0.0,0.
122.0,0.0,1.0,268035.3500000007,0.0,0.0,0.
123.0,0.0,1.0,273332.3500000007,0.0,0.0,0.
124.0,0.0,1.0,286070.3500000007,0.0,0.0,0.
125.0,0.0,1.0,284816.3500000007,0.0,0.0,0.
126.0,0.0,1.0,255674.35000000068,0.0,0.0,0.
127.0,0.0,1.0,254085.35000000068,0.0,0.0,0.
128.0,0.0,1.0,252678.35000000068,0.0,0.0,0.
129.0,0.0,1.0,241756.35000000068,0.0,0.0,0.
130.0,0.0,1.0,235336.35000000068,0.0,0.0,0.
131.0,0.0,1.0,302449.3500000007,0.0,0.0,0.
132.0,0.0,1.0,292797.3500000007,0.0,0.0,0.
133.0,0.0,1.0,292451.3500000007,0.0,0.0,0.
134.0,0.0,1.0,220916.64999999932,0.0,0.0,0.
135.0,0.0,1.0,252605.35000000068,0.0,0.0,0.
136.0,0.0,1.0,245445.64999999932,0.0,0.0,0.
137.0,0.0,1.0,251943.64999999932,0.0,0.0,0.
138.0,0.0,1.0,247795.64999999932,0.0,0.0,0.
139.0,0.0,1.0,251589.64999999932,0.0,0.0,0.
140.0,0.0,1.0,254067.64999999932,0.0,0.0,0.
141.0,0.0,1.0,257090.64999999932,0.0,0.0,0.
142.0,0.0,1.0,260638.64999999932,0.0,0.0,0.
143.0,0.0,1.0,284897.6499999993,0.0,0.0,0.
144.0,0.0,1.0,255736.64999999932,0.0,0.0,0.
145.0,0.0,1.0,246019.64999999932,0.0,0.0,0.
146.0,0.0,1.0,269081.6499999993,0.0,0.0,0.
147.0,0.0,1.0,251892.35000000068,0.0,0.0,0.
148.0,0.0,1.0,298002.3500000007,0.0,0.0,0.
149.0,0.0,1.0,301420.3500000007,0.0,0.0,0.
150.0,0.0,1.0,303267.3500000007,0.0,0.0,0.
151.0,0.0,1.0,288548.3500000007,0.0,0.0,0.
152.0,0.0,1.0,290055.3500000007,0.0,0.0,0.
153.0,0.0,1.0,280338.3500000007,0.0,0.0,0.
154.0,0.0,1.0,289040.3500000007,0.0,0.0,0.
155.0,0.0,1.0,281526.3500000007,0.0,0.0,0.
156.0,0.0,1.0,286246.3500000007,0.0,0.0,0.
157.0,0.0,1.0,258335.35000000068,0.0,0.0,0.
158.0,0.0,1.0,246792.35000000068,0.0,0.0,0.
159.0,0.0,1.0,274869.3500000007,0.0,0.0,0.
160.0,0.0,1.0,231148.64999999932,0.0,0.0,0.
161.0,0.0,1.0,300061.3500000007,0.0,0.0,0.
162.0,0.0,1.0,283323.3500000007,0.0,0.0,0.
163.0,0.0,1.0,251743.35000000068,0.0,0.0,0.
164.0,0.0,1.0,250801.64999999932,0.0,0.0,0.
165.0,0.0,1.0,255826.64999999932,0.0,0.0,0.
166.0,0.0,1.0,260178.64999999932,0.0,0.0,0.
167.0,0.0,1.0,258496.64999999932,0.0,0.0,0.
168.0,0.0,1.0,257551.64999999932,0.0,0.0,0.
169.0,0.0,1.0,264028.6499999993,0.0,0.0,0.
170.0,0.0,1.0,250763.64999999932,0.0,0.0,0.
171.0,0.0,1.0,260912.64999999932,0.0,0.0,0.
172.0,0.0,1.0,254916.64999999932,0.0,0.0,0.
173.0,0.0,1.0,275105.6499999993,0.0,0.0,0.
174.0,0.0,1.0,267826.6499999993,0.0,0.0,0.
175.0,0.0,1.0,258608.64999999932,0.0,0.0,0.
176.0,0.0,1.0,249580.64999999932,0.0,0.0,0.
177.0,0.0,1.0,261925.35000000068,0.0,0.0,0.
178.0,0.0,1.0,291939.3500000007,0.0,0.0,0.
179.0,0.0,1.0,292616.3500000007,0.0,0.0,0.
180.0,0.0,1.0,290809.3500000007,0.0,0.0,0.
181.0,0.0,1.0,288709.3500000007,0.0,0.0,0.
182.0,0.0,1.0,284451.3500000007,0.0,0.0,0.
183.0,0.0,1.0,298216.3500000007,0.0,0.0,0.
184.0,0.0,1.0,304038.3500000007,0.0,0.0,0.
185.0,0.0,1.0,319765.3500000007,0.0,0.0,0.
186.0,0.0,1.0,321107.3500000007,0.0,0.0,0.
187.0,0.0,1.0,342792.3500000007,0.0,0.0,0.
188.0,0.0,1.0,324758.3500000007,0.0,0.0,0.
189.0,0.0,1.0,267668.3500000007,0.0,0.0,0.
190.0,0.0,1.0,283027.6499999993,0.0,0.0,0.
191.0,0.0,1.0,281331.6499999993,0.0,0.0,0.
192.0,0.0,1.0,296417.6499999993,0.0,0.0,0.
193.0,0.0,1.0,288069.6499999993,0.0,0.0,0.
194.0,0.0,1.0,284998.6499999993,0.0,0.0,0.
195.0,0.0,1.0,297542.6499999993,0.0,0.0,0.
196.0,0.0,1.0,293149.6499999993,0.0,0.0,0.
197.0,0.0,1.0,289390.6499999993,0.0,0.0,0.
198.0,0.0,1.0,297802.6499999993,0.0,0.0,0.
199.0,0.0,1.0,288366.6499999993,0.0,0.0,0.
200.0,0.0,1.0,289719.6499999993,0.0,0.0,0.
201.0,0.0,1.0,300273.6499999993,0.0,0.0,0.
202.0,0.0,1.0,296489.6499999993,0.0,0.0,0.
203.0,0.0,1.0,273082.6499999993,0.0,0.0,0.
204.0,0.0,1.0,199855.64999999932,0.0,0.0,0.
205.0,0.0,1.0,283516.3500000007,0.0,0.0,0.
206.0,0.0,1.0,305457.3500000007,0.0,0.0,0.
207.0,0.0,1.0,289730.3500000007,0.0,0.0,0.
208.0,0.0,1.0,241661.35000000068,0.0,0.0,0.
209.0,0.0,1.0,247699.35000000068,0.0,0.0,0.
210.0,0.0,1.0,248845.35000000068,0.0,0.0,0.
211.0,0.0,1.0,260849.35000000068,0.0,0.0,0.
212.0,0.0,1.0,252388.35000000068,0.0,0.0,0.
213.0,0.0,1.0,323416.3500000007,0.0,0.0,0.
214.0,0.0,1.0,287413.3500000007,0.0,0.0,0.
215.0,0.0,1.0,308151.3500000007,0.0,0.0,0.
216.0,0.0,1.0,259062.35000000068,0.0,0.0,0.
217.0,0.0,1.0,259488.35000000068,0.0,0.0,0.
218.0,0.0,1.0,308474.3500000007,0.0,0.0,0.
219.0,0.0,1.0,339499.6499999993,0.0,0.0,0.
220.0,0.0,1.0,318314.6499999993,0.0,0.0,0.
221.0,0.0,1.0,329512.3500000007,0.0,0.0,0.
222.0,0.0,1.0,282075.6499999993,0.0,0.0,0.
223.0,0.0,1.0,287087.3500000007,0.0,0.0,0.
224.0,0.0,1.0,300899.3500000007,0.0,0.0,0.
225.0,0.0,1.0,329762.3500000007,0.0,0.0,0.
226.0,0.0,1.0,304690.3500000007,0.0,0.0,0.
227.0,0.0,1.0,306757.3500000007,0.0,0.0,0.
228.0,0.0,1.0,312832.3500000007,0.0,0.0,0.
229.0,0.0,1.0,336847.3500000007,0.0,0.0,0.
230.0,0.0,1.0,257555.64999999932,0.0,0.0,0.
231.0,0.0,1.0,336641.3500000007,0.0,0.0,0.
232.0,0.0,1.0,321221.3500000007,0.0,0.0,0.
233.0,0.0,1.0,278386.6499999993,0.0,0.0,0.
234.0,0.0,1.0,243923.64999999932,0.0,0.0,0.
235.0,0.0,1.0,247753.64999999932,0.0,0.0,0.
236.0,0.0,1.0,263987.6499999993,0.0,0.0,0.
237.0,0.0,1.0,254457.64999999932,0.0,0.0,0.
238.0,0.0,1.0,238271.64999999932,0.0,0.0,0.
239.0,0.0,1.0,253730.64999999932,0.0,0.0,0.
240.0,0.0,1.0,258615.64999999932,0.0,0.0,0.
241.0,0.0,1.0,229795.64999999932,0.0,0.0,0.
242.0,0.0,1.0,252083.64999999932,0.0,0.0,0.
243.0,0.0,1.0,232123.64999999932,0.0,0.0,0.
244.0,0.0,1.0,252094.64999999932,0.0,0.0,0.
245.0,0.0,1.0,243718.64999999932,0.0,0.0,0.
246.0,0.0,1.0,318937.6499999993,0.0,0.0,0.
247.0,0.0,1.0,256512.64999999932,0.0,0.0,0.
248.0,0.0,1.0,259683.64999999932,0.0,0.0,0.
249.0,0.0,1.0,247497.64999999932,0.0,0.0,0.
250.0,0.0,1.0,252830.64999999932,0.0,0.0,0.
251.0,0.0,1.0,263658.6499999993,0.0,0.0,0.
252.0,0.0,1.0,268323.6499999993,0.0,0.0,0.
253.0,0.0,1.0,268084.6499999993,0.0,0.0,0.
254.0,0.0,1.0,264049.6499999993,0.0,0.0,0.
