Frame_Num,Water_Detected,Hands_in_Water,Soap_Score,Expected_Water_Detection,Expected_Water_Location,Expected_Soap_Score
1.0,0.0,1.0,255076.39285714133,0.0,1.0,0.
2.0,0.0,1.0,240518.39285714133,0.0,1.0,0.
3.0,0.0,1.0,263661.3928571413,0.0,1.0,0.
4.0,0.0,1.0,299517.3928571413,0.0,1.0,0.
5.0,0.0,1.0,319229.3928571413,0.0,1.0,0.
6.0,0.0,1.0,329960.3928571413,0.0,1.0,0.
7.0,0.0,1.0,348439.3928571413,0.0,1.0,0.
8.0,0.0,1.0,362610.3928571413,0.0,1.0,0.
9.0,0.0,1.0,342890.3928571413,0.0,1.0,0.
10.0,0.0,1.0,311632.3928571413,0.0,1.0,0.
11.0,0.0,1.0,314395.3928571413,0.0,1.0,0.
12.0,0.0,1.0,257287.39285714133,0.0,1.0,0.
13.0,0.0,1.0,331643.3928571413,0.0,1.0,0.
14.0,0.0,1.0,313485.3928571413,0.0,1.0,0.
15.0,0.0,1.0,220133.39285714133,0.0,1.0,0.
16.0,0.0,1.0,215066.39285714133,0.0,1.0,0.
17.0,0.0,1.0,220342.39285714133,0.0,1.0,0.
18.0,0.0,1.0,190838.39285714133,0.0,1.0,0.
19.0,0.0,1.0,232500.39285714133,0.0,1.0,0.
20.0,0.0,1.0,262036.39285714133,0.0,1.0,0.
21.0,0.0,1.0,252504.39285714133,0.0,1.0,0.
22.0,0.0,1.0,227752.39285714133,0.0,1.0,0.
23.0,0.0,1.0,199793.39285714133,0.0,1.0,0.
24.0,0.0,1.0,189857.39285714133,0.0,1.0,0.
25.0,0.0,1.0,169303.60714285867,0.0,1.0,0.
26.0,0.0,1.0,278455.3928571413,0.0,1.0,0.
27.0,0.0,1.0,279875.3928571413,0.0,1.0,0.
28.0,0.0,1.0,211135.39285714133,0.0,1.0,0.
29.0,0.0,1.0,297385.3928571413,0.0,1.0,0.
30.0,0.0,1.0,276552.3928571413,0.0,1.0,0.
