Frame_Num,Water_Detected,Hands_in_Water,Soap_Score,Expected_Water_Detection,Expected_Water_Location,Expected_Soap_Score
1.0,0.0,1.0,451856.8095238061,0.0,1.0,0.
2.0,0.0,1.0,423338.8095238061,0.0,1.0,0.
3.0,0.0,1.0,406175.8095238061,0.0,1.0,0.
4.0,0.0,1.0,367900.8095238061,0.0,1.0,0.
5.0,0.0,1.0,351006.8095238061,0.0,1.0,0.
6.0,0.0,1.0,347476.8095238061,0.0,1.0,0.
7.0,0.0,1.0,329401.8095238061,0.0,1.0,0.
8.0,0.0,1.0,325090.8095238061,0.0,1.0,0.
9.0,0.0,1.0,265597.1904761939,0.0,1.0,0.
10.0,0.0,1.0,280672.1904761939,0.0,1.0,0.
11.0,0.0,1.0,270483.1904761939,0.0,1.0,0.
12.0,0.0,1.0,280892.8095238061,0.0,1.0,0.
13.0,0.0,1.0,303908.8095238061,0.0,1.0,0.
14.0,0.0,1.0,326365.8095238061,0.0,1.0,0.
15.0,0.0,1.0,338646.8095238061,0.0,1.0,0.
16.0,0.0,1.0,343532.8095238061,0.0,1.0,0.
17.0,0.0,1.0,309071.8095238061,0.0,1.0,0.
18.0,0.0,1.0,337786.8095238061,0.0,1.0,0.
19.0,0.0,1.0,340504.8095238061,0.0,1.0,0.
20.0,0.0,1.0,342256.8095238061,0.0,1.0,0.
21.0,0.0,1.0,329115.8095238061,0.0,1.0,0.
22.0,0.0,1.0,332702.8095238061,0.0,1.0,0.
23.0,0.0,1.0,312609.8095238061,0.0,1.0,0.
24.0,0.0,1.0,289112.1904761939,0.0,1.0,0.
25.0,0.0,1.0,277027.1904761939,0.0,1.0,0.
26.0,0.0,1.0,281656.1904761939,0.0,1.0,0.
27.0,0.0,1.0,292267.1904761939,0.0,1.0,0.
28.0,0.0,1.0,288865.1904761939,0.0,1.0,0.
29.0,0.0,1.0,290541.1904761939,0.0,1.0,0.
30.0,0.0,0.0,289998.1904761939,0.0,1.0,0.
31.0,0.0,1.0,291902.8095238061,0.0,1.0,0.
32.0,0.0,1.0,292609.8095238061,0.0,1.0,0.
33.0,0.0,1.0,299327.8095238061,0.0,1.0,0.
34.0,0.0,1.0,359608.8095238061,0.0,1.0,0.
35.0,0.0,1.0,353018.8095238061,0.0,1.0,0.
36.0,0.0,1.0,337171.8095238061,0.0,1.0,0.
37.0,0.0,1.0,320511.8095238061,0.0,1.0,0.
38.0,0.0,1.0,301225.8095238061,0.0,1.0,0.
39.0,0.0,1.0,324933.8095238061,0.0,1.0,0.
