Frame_Num,Water_Detected,Hands_in_Water,Soap_Score,Expected_Water_Detection,Expected_Water_Location,Expected_Soap_Score
1.0,1.0,1.0,529696.3500000007,1.0,1.0,0.
2.0,1.0,1.0,575592.3500000007,1.0,1.0,0.
3.0,1.0,1.0,541360.3500000007,1.0,1.0,0.
4.0,1.0,1.0,563986.3500000007,1.0,1.0,0.
5.0,1.0,1.0,592222.3500000007,1.0,1.0,0.
6.0,1.0,1.0,592914.3500000007,1.0,1.0,0.
7.0,1.0,1.0,606426.3500000007,1.0,1.0,0.
8.0,1.0,1.0,552041.3500000007,1.0,1.0,0.
9.0,1.0,1.0,547385.3500000007,1.0,1.0,0.
10.0,1.0,1.0,706093.3500000007,1.0,1.0,0.
11.0,1.0,1.0,634650.3500000007,1.0,1.0,0.
12.0,1.0,1.0,663529.3500000007,1.0,1.0,0.
13.0,1.0,1.0,663257.3500000007,1.0,1.0,0.
14.0,1.0,1.0,693163.3500000007,1.0,1.0,0.
15.0,1.0,1.0,573523.3500000007,1.0,1.0,0.
16.0,1.0,1.0,672247.3500000007,1.0,1.0,0.
17.0,1.0,1.0,548755.3500000007,1.0,1.0,0.
18.0,1.0,1.0,659622.3500000007,1.0,1.0,0.
19.0,1.0,1.0,739148.3500000007,1.0,1.0,0.
20.0,1.0,1.0,842136.3500000007,1.0,1.0,0.
21.0,1.0,1.0,706429.3500000007,1.0,1.0,0.
22.0,1.0,1.0,672447.3500000007,1.0,1.0,0.
23.0,1.0,1.0,728582.3500000007,1.0,1.0,0.
24.0,1.0,1.0,400812.3500000007,1.0,1.0,0.
25.0,1.0,1.0,656334.3500000007,1.0,1.0,0.
26.0,1.0,1.0,655011.3500000007,1.0,1.0,0.
27.0,1.0,1.0,601261.3500000007,1.0,1.0,0.
28.0,1.0,1.0,580079.3500000007,1.0,1.0,0.
29.0,1.0,1.0,566487.3500000007,1.0,1.0,0.
30.0,1.0,1.0,735687.3500000007,1.0,1.0,0.
31.0,1.0,1.0,632762.3500000007,1.0,1.0,0.
32.0,1.0,1.0,622463.3500000007,1.0,1.0,0.
33.0,1.0,1.0,626673.3500000007,1.0,1.0,0.
34.0,1.0,1.0,612945.3500000007,1.0,1.0,0.
35.0,1.0,1.0,628334.3500000007,1.0,1.0,0.
36.0,1.0,1.0,646110.3500000007,1.0,1.0,0.
37.0,1.0,1.0,661311.3500000007,1.0,1.0,0.
38.0,1.0,1.0,671571.3500000007,1.0,1.0,0.
39.0,1.0,1.0,630077.3500000007,1.0,1.0,0.
40.0,1.0,1.0,657266.3500000007,1.0,1.0,0.
41.0,1.0,1.0,704284.3500000007,1.0,1.0,0.
