Frame_Num,Water_Detected,Hands_in_Water,Soap_Score,Expected_Water_Detection,Expected_Water_Location,Expected_Soap_Score
1.0,1.0,1.0,587515.7578947351,1.0,1.0,0.
2.0,0.0,1.0,762790.7578947351,1.0,1.0,0.
3.0,0.0,1.0,829087.7578947351,1.0,1.0,0.
4.0,0.0,1.0,720580.7578947351,1.0,1.0,0.
5.0,0.0,1.0,677095.7578947351,1.0,1.0,0.
6.0,0.0,1.0,625829.7578947351,1.0,1.0,0.
7.0,0.0,1.0,605283.7578947351,1.0,1.0,0.
8.0,0.0,1.0,585008.7578947351,1.0,1.0,0.
9.0,0.0,1.0,677831.7578947351,1.0,1.0,0.
10.0,0.0,1.0,625231.7578947351,1.0,1.0,0.
11.0,0.0,1.0,661502.7578947351,1.0,1.0,0.
12.0,0.0,1.0,623512.7578947351,1.0,1.0,0.
13.0,0.0,1.0,619440.7578947351,1.0,1.0,0.
14.0,0.0,1.0,644556.7578947351,1.0,1.0,0.
15.0,0.0,1.0,677993.7578947351,1.0,1.0,0.
16.0,0.0,1.0,687129.7578947351,1.0,1.0,0.
17.0,0.0,1.0,716444.7578947351,1.0,1.0,0.
18.0,0.0,1.0,718989.7578947351,1.0,1.0,0.
19.0,0.0,1.0,714857.7578947351,1.0,1.0,0.
20.0,0.0,1.0,692490.7578947351,1.0,1.0,0.
21.0,0.0,1.0,736100.7578947351,1.0,1.0,0.
22.0,0.0,1.0,678380.7578947351,1.0,1.0,0.
23.0,0.0,1.0,718015.7578947351,1.0,1.0,0.
24.0,0.0,1.0,738526.7578947351,1.0,1.0,0.
25.0,0.0,1.0,677271.7578947351,1.0,1.0,0.
26.0,0.0,1.0,658083.7578947351,1.0,1.0,0.
27.0,0.0,1.0,710168.7578947351,1.0,1.0,0.
28.0,0.0,1.0,724039.7578947351,1.0,1.0,0.
29.0,0.0,1.0,705489.7578947351,1.0,1.0,0.
30.0,0.0,1.0,731508.7578947351,1.0,1.0,0.
31.0,0.0,1.0,719786.7578947351,1.0,1.0,0.
32.0,0.0,1.0,695993.7578947351,1.0,1.0,0.
33.0,0.0,1.0,710283.7578947351,1.0,1.0,0.
34.0,0.0,1.0,722526.7578947351,1.0,1.0,0.
35.0,0.0,1.0,746273.7578947351,1.0,1.0,0.
36.0,0.0,1.0,722268.7578947351,1.0,1.0,0.
37.0,0.0,1.0,767567.7578947351,1.0,1.0,0.
38.0,0.0,1.0,743259.7578947351,1.0,1.0,0.
39.0,0.0,1.0,788975.7578947351,1.0,1.0,0.
40.0,0.0,1.0,774826.7578947351,1.0,1.0,0.
41.0,0.0,1.0,758974.7578947351,1.0,1.0,0.
42.0,0.0,1.0,1012471.7578947351,1.0,1.0,0.
43.0,0.0,1.0,1047451.7578947351,1.0,1.0,0.
44.0,0.0,1.0,998358.7578947351,1.0,1.0,0.
45.0,0.0,1.0,961586.7578947351,1.0,1.0,0.
46.0,0.0,1.0,1007801.7578947351,1.0,1.0,0.
47.0,0.0,1.0,790414.7578947351,1.0,1.0,0.
48.0,0.0,1.0,744088.7578947351,1.0,1.0,0.
49.0,0.0,1.0,772536.7578947351,1.0,1.0,0.
50.0,0.0,1.0,760032.7578947351,1.0,1.0,0.
51.0,0.0,1.0,756367.7578947351,1.0,1.0,0.
52.0,0.0,1.0,712243.7578947351,1.0,1.0,0.
53.0,0.0,1.0,748250.7578947351,1.0,1.0,0.
54.0,0.0,1.0,714452.7578947351,1.0,1.0,0.
55.0,0.0,1.0,715600.7578947351,1.0,1.0,0.
56.0,0.0,1.0,727904.7578947351,1.0,1.0,0.
57.0,0.0,1.0,741555.7578947351,1.0,1.0,0.
58.0,0.0,1.0,722998.7578947351,1.0,1.0,0.
59.0,0.0,1.0,754533.7578947351,1.0,1.0,0.
60.0,0.0,1.0,744470.7578947351,1.0,1.0,0.
