Frame_Num,Water_Detected,Hands_in_Water,Soap_Score,Expected_Water_Detection,Expected_Water_Location,Expected_Soap_Score
1.0,1.0,1.0,761304.3928571413,1.0,1.0,0.
2.0,1.0,1.0,567416.3928571413,1.0,1.0,0.
3.0,1.0,1.0,769118.3928571413,1.0,1.0,0.
4.0,1.0,1.0,744211.3928571413,1.0,1.0,0.
5.0,1.0,1.0,720944.3928571413,1.0,1.0,0.
6.0,1.0,1.0,646434.3928571413,1.0,1.0,0.
7.0,1.0,1.0,715626.3928571413,1.0,1.0,0.
8.0,1.0,1.0,704395.3928571413,1.0,1.0,0.
9.0,1.0,1.0,453374.6071428587,1.0,1.0,0.
10.0,1.0,1.0,526719.3928571413,1.0,1.0,0.
11.0,1.0,1.0,718564.3928571413,1.0,1.0,0.
12.0,1.0,1.0,762639.3928571413,1.0,1.0,0.
13.0,1.0,1.0,729978.3928571413,1.0,1.0,0.
14.0,1.0,1.0,578280.3928571413,1.0,1.0,0.
15.0,1.0,1.0,681102.3928571413,1.0,1.0,0.
16.0,1.0,1.0,456648.3928571413,1.0,1.0,0.
17.0,1.0,1.0,769430.3928571413,1.0,1.0,0.
18.0,1.0,1.0,678549.3928571413,1.0,1.0,0.
19.0,1.0,1.0,810327.3928571413,1.0,1.0,0.
20.0,1.0,1.0,745637.3928571413,1.0,1.0,0.
21.0,1.0,1.0,774739.3928571413,1.0,1.0,0.
22.0,1.0,1.0,822907.3928571413,1.0,1.0,0.
23.0,1.0,1.0,378967.3928571413,1.0,1.0,0.
24.0,1.0,1.0,438185.3928571413,1.0,1.0,0.
25.0,1.0,1.0,731731.3928571413,1.0,1.0,0.
26.0,1.0,1.0,690932.3928571413,1.0,1.0,0.
27.0,1.0,1.0,800171.3928571413,1.0,1.0,0.
28.0,1.0,1.0,818884.3928571413,1.0,1.0,0.
29.0,1.0,1.0,391005.3928571413,1.0,1.0,0.
30.0,1.0,1.0,387459.3928571413,1.0,1.0,0.
31.0,1.0,1.0,445295.6071428587,1.0,1.0,0.
32.0,1.0,1.0,440909.3928571413,1.0,1.0,0.
33.0,1.0,1.0,513948.3928571413,1.0,1.0,0.
34.0,1.0,1.0,650354.3928571413,1.0,1.0,0.
35.0,1.0,1.0,754636.3928571413,1.0,1.0,0.
36.0,1.0,1.0,774625.3928571413,1.0,1.0,0.
37.0,1.0,1.0,348664.3928571413,1.0,1.0,0.
38.0,1.0,1.0,552123.3928571413,1.0,1.0,0.
39.0,1.0,1.0,498278.3928571413,1.0,1.0,0.
40.0,1.0,1.0,719836.3928571413,1.0,1.0,0.
41.0,1.0,1.0,686843.3928571413,1.0,1.0,0.
42.0,1.0,1.0,633757.3928571413,1.0,1.0,0.
43.0,1.0,1.0,778454.3928571413,1.0,1.0,0.
44.0,1.0,1.0,581232.3928571413,1.0,1.0,0.
45.0,1.0,1.0,768955.3928571413,1.0,1.0,0.
46.0,1.0,1.0,727845.3928571413,1.0,1.0,0.
47.0,1.0,1.0,681452.3928571413,1.0,1.0,0.
48.0,1.0,1.0,716238.3928571413,1.0,1.0,0.
49.0,1.0,1.0,778360.3928571413,1.0,1.0,0.
50.0,1.0,1.0,679342.3928571413,1.0,1.0,0.
51.0,1.0,1.0,509671.3928571413,1.0,1.0,0.
52.0,1.0,1.0,602896.3928571413,1.0,1.0,0.
53.0,1.0,1.0,792841.3928571413,1.0,1.0,0.
54.0,1.0,1.0,707035.3928571413,1.0,1.0,0.
55.0,1.0,1.0,770464.3928571413,1.0,1.0,0.
56.0,1.0,1.0,338460.3928571413,1.0,1.0,0.
57.0,1.0,1.0,333572.3928571413,1.0,1.0,0.
58.0,1.0,1.0,314598.3928571413,1.0,1.0,0.
59.0,1.0,1.0,405313.3928571413,1.0,1.0,0.
60.0,1.0,1.0,604789.3928571413,1.0,1.0,0.
61.0,1.0,1.0,702015.3928571413,1.0,1.0,0.
62.0,1.0,1.0,311287.3928571413,1.0,1.0,0.
63.0,1.0,1.0,351716.3928571413,1.0,1.0,0.
64.0,1.0,1.0,594623.3928571413,1.0,1.0,0.
65.0,1.0,1.0,587263.3928571413,1.0,1.0,0.
66.0,1.0,1.0,552272.3928571413,1.0,1.0,0.
67.0,1.0,1.0,807826.3928571413,1.0,1.0,0.
68.0,1.0,1.0,386857.3928571413,1.0,1.0,0.
69.0,1.0,1.0,360877.3928571413,1.0,1.0,0.
70.0,1.0,1.0,466134.3928571413,1.0,1.0,0.
71.0,1.0,1.0,460778.3928571413,1.0,1.0,0.
72.0,1.0,1.0,814246.3928571413,1.0,1.0,0.
73.0,1.0,1.0,685956.3928571413,1.0,1.0,0.
74.0,1.0,1.0,720359.3928571413,1.0,1.0,0.
75.0,1.0,1.0,813802.3928571413,1.0,1.0,0.
76.0,1.0,1.0,371525.3928571413,1.0,1.0,0.
77.0,1.0,1.0,366618.3928571413,1.0,1.0,0.
78.0,1.0,1.0,864702.3928571413,1.0,1.0,0.
79.0,1.0,1.0,769439.3928571413,1.0,1.0,0.
80.0,1.0,1.0,774843.3928571413,1.0,1.0,0.
81.0,1.0,1.0,481776.3928571413,1.0,1.0,0.
82.0,1.0,1.0,538162.3928571413,1.0,1.0,0.
83.0,1.0,1.0,289034.3928571413,1.0,1.0,0.
84.0,1.0,1.0,365305.3928571413,1.0,1.0,0.
85.0,1.0,1.0,833304.3928571413,1.0,1.0,0.
86.0,1.0,1.0,748169.3928571413,1.0,1.0,0.
87.0,1.0,1.0,806127.3928571413,1.0,1.0,0.
88.0,1.0,1.0,450476.3928571413,1.0,1.0,0.
89.0,1.0,1.0,348836.3928571413,1.0,1.0,0.
90.0,1.0,1.0,311301.3928571413,1.0,1.0,0.
91.0,1.0,1.0,489499.3928571413,1.0,1.0,0.
92.0,1.0,1.0,535352.3928571413,1.0,1.0,0.
93.0,1.0,1.0,644780.3928571413,1.0,1.0,0.
94.0,1.0,1.0,502565.3928571413,1.0,1.0,0.
95.0,1.0,1.0,684023.3928571413,1.0,1.0,0.
96.0,1.0,1.0,584654.3928571413,1.0,1.0,0.
97.0,1.0,1.0,376675.3928571413,1.0,1.0,0.
98.0,1.0,1.0,408617.3928571413,1.0,1.0,0.
99.0,1.0,1.0,564972.3928571413,1.0,1.0,0.
100.0,1.0,1.0,360666.3928571413,1.0,1.0,0.
101.0,1.0,1.0,363046.3928571413,1.0,1.0,0.
102.0,1.0,1.0,343145.3928571413,1.0,1.0,0.
103.0,1.0,1.0,405944.3928571413,1.0,1.0,0.
104.0,1.0,1.0,484557.3928571413,1.0,1.0,0.
105.0,1.0,1.0,685319.3928571413,1.0,1.0,0.
106.0,1.0,1.0,487071.3928571413,1.0,1.0,0.
107.0,1.0,1.0,713182.3928571413,1.0,1.0,0.
108.0,1.0,1.0,442724.3928571413,1.0,1.0,0.
109.0,1.0,1.0,483127.3928571413,1.0,1.0,0.
110.0,1.0,1.0,387630.3928571413,1.0,1.0,0.
111.0,1.0,1.0,451124.3928571413,1.0,1.0,0.
112.0,1.0,1.0,328639.3928571413,1.0,1.0,0.
113.0,1.0,1.0,572857.3928571413,1.0,1.0,0.
114.0,1.0,1.0,568832.3928571413,1.0,1.0,0.
115.0,1.0,1.0,529431.3928571413,1.0,1.0,0.
116.0,1.0,1.0,719366.3928571413,1.0,1.0,0.
117.0,1.0,1.0,609044.3928571413,1.0,1.0,0.
118.0,1.0,1.0,529445.3928571413,1.0,1.0,0.
119.0,1.0,1.0,284099.3928571413,1.0,1.0,0.
120.0,1.0,1.0,449637.3928571413,1.0,1.0,0.
121.0,1.0,1.0,547776.3928571413,1.0,1.0,0.
122.0,1.0,1.0,546819.3928571413,1.0,1.0,0.
123.0,1.0,1.0,463479.3928571413,1.0,1.0,0.
124.0,1.0,1.0,209554.60714285867,1.0,1.0,0.
125.0,1.0,1.0,257497.60714285867,1.0,1.0,0.
126.0,1.0,1.0,358347.3928571413,1.0,1.0,0.
127.0,1.0,1.0,587657.3928571413,1.0,1.0,0.
128.0,1.0,1.0,546553.3928571413,1.0,1.0,0.
129.0,1.0,1.0,538003.3928571413,1.0,1.0,0.
130.0,1.0,1.0,718727.3928571413,1.0,1.0,0.
131.0,1.0,1.0,727525.3928571413,1.0,1.0,0.
132.0,1.0,1.0,770743.3928571413,1.0,1.0,0.
133.0,1.0,1.0,442838.3928571413,1.0,1.0,0.
134.0,1.0,1.0,326860.3928571413,1.0,1.0,0.
135.0,1.0,1.0,443895.3928571413,1.0,1.0,0.
136.0,1.0,1.0,655418.3928571413,1.0,1.0,0.
137.0,1.0,1.0,552729.3928571413,1.0,1.0,0.
138.0,1.0,1.0,501024.3928571413,1.0,1.0,0.
139.0,1.0,1.0,684929.3928571413,1.0,1.0,0.
140.0,1.0,1.0,546071.3928571413,1.0,1.0,0.
141.0,1.0,1.0,385976.3928571413,1.0,1.0,0.
142.0,1.0,1.0,398117.3928571413,1.0,1.0,0.
143.0,1.0,1.0,257504.39285714133,1.0,1.0,0.
