Frame_Num,Water_Detected,Hands_in_Water,Soap_Score,Expected_Water_Detection,Expected_Water_Location,Expected_Soap_Score
1.0,1.0,1.0,599775.8095238061,1.0,1.0,0.
2.0,1.0,1.0,608451.8095238061,1.0,1.0,0.
3.0,1.0,1.0,595260.8095238061,1.0,1.0,0.
4.0,1.0,1.0,635039.8095238061,1.0,1.0,0.
5.0,1.0,1.0,640835.8095238061,1.0,1.0,0.
6.0,1.0,1.0,664156.8095238061,1.0,1.0,0.
7.0,1.0,1.0,643002.8095238061,1.0,1.0,0.
8.0,1.0,1.0,612261.8095238061,1.0,1.0,0.
9.0,1.0,1.0,652651.8095238061,1.0,1.0,0.
10.0,1.0,1.0,652655.8095238061,1.0,1.0,0.
11.0,1.0,1.0,642282.8095238061,1.0,1.0,0.
12.0,1.0,1.0,669652.8095238061,1.0,1.0,0.
13.0,1.0,1.0,608434.8095238061,1.0,1.0,0.
14.0,1.0,1.0,515798.8095238061,1.0,1.0,0.
15.0,1.0,1.0,526294.8095238061,1.0,1.0,0.
16.0,1.0,1.0,371348.8095238061,1.0,1.0,0.
17.0,1.0,1.0,584532.8095238061,1.0,1.0,0.
18.0,1.0,1.0,384734.8095238061,1.0,1.0,0.
19.0,1.0,1.0,598660.8095238061,1.0,1.0,0.
20.0,1.0,1.0,481431.8095238061,1.0,1.0,0.
21.0,1.0,1.0,574189.8095238061,1.0,1.0,0.
22.0,1.0,1.0,597143.8095238061,1.0,1.0,0.
23.0,1.0,1.0,538148.8095238061,1.0,1.0,0.
24.0,1.0,1.0,348938.8095238061,1.0,1.0,0.
25.0,1.0,1.0,484307.8095238061,1.0,1.0,0.
26.0,1.0,1.0,833285.8095238061,1.0,1.0,0.
27.0,1.0,1.0,658001.8095238061,1.0,1.0,0.
28.0,1.0,1.0,611594.8095238061,1.0,1.0,0.
29.0,1.0,1.0,620152.8095238061,1.0,1.0,0.
30.0,1.0,1.0,503724.8095238061,1.0,1.0,0.
31.0,1.0,1.0,420186.8095238061,1.0,1.0,0.
32.0,1.0,1.0,459829.8095238061,1.0,1.0,0.
33.0,1.0,1.0,479315.8095238061,1.0,1.0,0.
34.0,1.0,1.0,489706.8095238061,1.0,1.0,0.
35.0,1.0,1.0,348432.8095238061,1.0,1.0,0.
36.0,1.0,0.0,344910.8095238061,1.0,1.0,0.
37.0,1.0,0.0,339253.8095238061,1.0,1.0,0.
38.0,1.0,0.0,381186.8095238061,1.0,1.0,0.
39.0,1.0,0.0,332297.8095238061,1.0,1.0,0.
40.0,1.0,0.0,312527.8095238061,1.0,1.0,0.
41.0,1.0,0.0,323267.8095238061,1.0,1.0,0.
42.0,1.0,0.0,335436.8095238061,1.0,1.0,0.
43.0,1.0,1.0,317260.8095238061,1.0,1.0,0.
44.0,1.0,1.0,480815.8095238061,1.0,1.0,0.
45.0,1.0,1.0,387333.8095238061,1.0,1.0,0.
46.0,1.0,1.0,357556.8095238061,1.0,1.0,0.
47.0,1.0,1.0,349819.8095238061,1.0,1.0,0.
48.0,1.0,1.0,383265.8095238061,1.0,1.0,0.
49.0,1.0,1.0,373255.8095238061,1.0,1.0,0.
50.0,1.0,1.0,416535.8095238061,1.0,1.0,0.
51.0,1.0,1.0,427667.8095238061,1.0,1.0,0.
52.0,1.0,1.0,670262.8095238061,1.0,1.0,0.
53.0,1.0,1.0,680563.8095238061,1.0,1.0,0.
54.0,1.0,1.0,704674.8095238061,1.0,1.0,0.
55.0,1.0,1.0,566142.8095238061,1.0,1.0,0.
56.0,1.0,1.0,672939.8095238061,1.0,1.0,0.
57.0,1.0,1.0,843768.8095238061,1.0,1.0,0.
58.0,1.0,1.0,782190.8095238061,1.0,1.0,0.
59.0,1.0,1.0,804335.8095238061,1.0,1.0,0.
60.0,1.0,1.0,862357.8095238061,1.0,1.0,0.
61.0,1.0,1.0,715920.8095238061,1.0,1.0,0.
62.0,1.0,1.0,714235.8095238061,1.0,1.0,0.
63.0,1.0,1.0,691217.8095238061,1.0,1.0,0.
64.0,1.0,1.0,447918.8095238061,1.0,1.0,0.
65.0,1.0,1.0,618181.8095238061,1.0,1.0,0.
66.0,1.0,1.0,426638.8095238061,1.0,1.0,0.
67.0,1.0,1.0,327095.8095238061,1.0,1.0,0.
68.0,1.0,1.0,316260.8095238061,1.0,1.0,0.
69.0,1.0,1.0,609787.8095238061,1.0,1.0,0.
70.0,1.0,1.0,544597.8095238061,1.0,1.0,0.
71.0,1.0,1.0,558344.8095238061,1.0,1.0,0.
72.0,1.0,1.0,617785.8095238061,1.0,1.0,0.
73.0,1.0,1.0,339523.8095238061,1.0,1.0,0.
74.0,1.0,1.0,403223.8095238061,1.0,1.0,0.
75.0,1.0,1.0,510783.8095238061,1.0,1.0,0.
76.0,1.0,1.0,609503.8095238061,1.0,1.0,0.
77.0,1.0,1.0,530072.8095238061,1.0,1.0,0.
78.0,1.0,1.0,567987.8095238061,1.0,1.0,0.
79.0,1.0,1.0,699405.8095238061,1.0,1.0,0.
80.0,1.0,1.0,694954.8095238061,1.0,1.0,0.
81.0,1.0,1.0,444719.8095238061,1.0,1.0,0.
82.0,1.0,1.0,602412.8095238061,1.0,1.0,0.
83.0,1.0,1.0,516121.8095238061,1.0,1.0,0.
84.0,1.0,1.0,457325.8095238061,1.0,1.0,0.
85.0,1.0,1.0,381755.8095238061,1.0,1.0,0.
86.0,1.0,1.0,437278.8095238061,1.0,1.0,0.
87.0,1.0,1.0,278563.8095238061,1.0,1.0,0.
88.0,1.0,1.0,410080.8095238061,1.0,1.0,0.
89.0,1.0,1.0,387300.8095238061,1.0,1.0,0.
90.0,1.0,1.0,586072.8095238061,1.0,1.0,0.
91.0,1.0,1.0,582311.8095238061,1.0,1.0,0.
92.0,1.0,1.0,601400.8095238061,1.0,1.0,0.
93.0,1.0,1.0,603777.8095238061,1.0,1.0,0.
94.0,1.0,1.0,335216.8095238061,1.0,1.0,0.
95.0,1.0,1.0,584057.8095238061,1.0,1.0,0.
96.0,1.0,1.0,551572.8095238061,1.0,1.0,0.
97.0,1.0,1.0,513445.8095238061,1.0,1.0,0.
98.0,1.0,1.0,599855.8095238061,1.0,1.0,0.
99.0,1.0,1.0,348834.8095238061,1.0,1.0,0.
100.0,1.0,1.0,325675.8095238061,1.0,1.0,0.
101.0,1.0,1.0,477084.8095238061,1.0,1.0,0.
102.0,1.0,1.0,444799.8095238061,1.0,1.0,0.
103.0,1.0,1.0,520223.8095238061,1.0,1.0,0.
104.0,1.0,1.0,540703.8095238061,1.0,1.0,0.
105.0,1.0,1.0,499552.8095238061,1.0,1.0,0.
106.0,1.0,1.0,352247.8095238061,1.0,1.0,0.
107.0,1.0,1.0,272803.1904761939,1.0,1.0,0.
108.0,1.0,1.0,277849.8095238061,1.0,1.0,0.
109.0,1.0,1.0,248778.1904761939,1.0,1.0,0.
110.0,1.0,1.0,329682.8095238061,1.0,1.0,0.
111.0,1.0,1.0,695142.8095238061,1.0,1.0,0.
112.0,1.0,1.0,527781.8095238061,1.0,1.0,0.
113.0,1.0,1.0,277376.8095238061,1.0,1.0,0.
114.0,1.0,1.0,292432.8095238061,1.0,1.0,0.
115.0,1.0,1.0,259675.1904761939,1.0,1.0,0.
116.0,1.0,1.0,259116.1904761939,1.0,1.0,0.
117.0,1.0,1.0,505939.8095238061,1.0,1.0,0.
118.0,1.0,1.0,457300.8095238061,1.0,1.0,0.
119.0,1.0,1.0,267526.8095238061,1.0,1.0,0.
120.0,1.0,1.0,323022.8095238061,1.0,1.0,0.
121.0,1.0,1.0,284021.8095238061,1.0,1.0,0.
122.0,1.0,1.0,242614.1904761939,1.0,1.0,0.
123.0,1.0,1.0,268026.1904761939,1.0,1.0,0.
124.0,1.0,1.0,622813.8095238061,1.0,1.0,0.
125.0,1.0,1.0,414019.8095238061,1.0,1.0,0.
126.0,1.0,1.0,289718.8095238061,1.0,1.0,0.
127.0,1.0,1.0,301561.8095238061,1.0,1.0,0.
128.0,1.0,1.0,285909.8095238061,1.0,1.0,0.
129.0,1.0,1.0,326925.8095238061,1.0,1.0,0.
130.0,1.0,1.0,318744.8095238061,1.0,1.0,0.
131.0,1.0,1.0,346187.8095238061,1.0,1.0,0.
132.0,1.0,1.0,455680.8095238061,1.0,1.0,0.
133.0,1.0,1.0,367233.8095238061,1.0,1.0,0.
134.0,1.0,1.0,441497.8095238061,1.0,1.0,0.
135.0,1.0,1.0,453540.8095238061,1.0,1.0,0.
136.0,1.0,1.0,566472.8095238061,1.0,1.0,0.
137.0,1.0,1.0,506991.8095238061,1.0,1.0,0.
138.0,1.0,1.0,472466.8095238061,1.0,1.0,0.
139.0,1.0,1.0,563601.8095238061,1.0,1.0,0.
140.0,1.0,1.0,446289.8095238061,1.0,1.0,0.
141.0,1.0,1.0,535235.8095238061,1.0,1.0,0.
142.0,1.0,1.0,546031.8095238061,1.0,1.0,0.
143.0,1.0,1.0,497854.8095238061,1.0,1.0,0.
144.0,1.0,1.0,589550.8095238061,1.0,1.0,0.
145.0,1.0,1.0,553371.8095238061,1.0,1.0,0.
146.0,1.0,1.0,271651.1904761939,1.0,1.0,0.
147.0,1.0,1.0,332619.8095238061,1.0,1.0,0.
148.0,1.0,1.0,273861.8095238061,1.0,1.0,0.
149.0,1.0,0.0,260883.8095238061,1.0,1.0,0.
150.0,1.0,1.0,275771.8095238061,1.0,1.0,0.
151.0,1.0,1.0,312301.8095238061,1.0,1.0,0.
152.0,1.0,1.0,554160.8095238061,1.0,1.0,0.
153.0,1.0,1.0,256091.8095238061,1.0,1.0,0.
154.0,1.0,1.0,243219.8095238061,1.0,1.0,0.
155.0,1.0,1.0,268091.8095238061,1.0,1.0,0.
156.0,1.0,1.0,258514.8095238061,1.0,1.0,0.
157.0,1.0,1.0,247773.1904761939,1.0,1.0,0.
158.0,1.0,1.0,261687.8095238061,1.0,1.0,0.
