Water_Detected,Hands_in_Water,Soap_Score,Expected_Water_Detection,Expected_Water_Location,Expected_Soap_Score
1.0,1.0,1.0,242225.35000000068,1.0,1.0,0.
2.0,1.0,1.0,475882.3500000007,1.0,1.0,0.
3.0,1.0,1.0,417826.3500000007,1.0,1.0,0.
4.0,1.0,1.0,432700.3500000007,1.0,1.0,0.
5.0,1.0,0.0,416137.3500000007,1.0,1.0,0.
6.0,1.0,0.0,409485.3500000007,1.0,1.0,0.
7.0,1.0,0.0,286338.3500000007,1.0,1.0,0.
8.0,1.0,0.0,418321.3500000007,1.0,1.0,0.
9.0,1.0,0.0,420717.3500000007,1.0,1.0,0.
10.0,1.0,0.0,430178.3500000007,1.0,1.0,0.
11.0,1.0,0.0,299741.3500000007,1.0,1.0,0.
12.0,1.0,0.0,497396.3500000007,1.0,1.0,0.
13.0,1.0,0.0,293837.3500000007,1.0,1.0,0.
14.0,1.0,0.0,343148.3500000007,1.0,1.0,0.
15.0,1.0,1.0,310077.3500000007,1.0,1.0,0.
16.0,1.0,0.0,307094.3500000007,1.0,1.0,0.
17.0,1.0,0.0,332970.3500000007,1.0,1.0,0.
18.0,1.0,0.0,340684.3500000007,1.0,1.0,0.
19.0,1.0,0.0,421784.3500000007,1.0,1.0,0.
20.0,1.0,0.0,319419.3500000007,1.0,1.0,0.
21.0,1.0,0.0,330914.3500000007,1.0,1.0,0.
22.0,1.0,0.0,266098.3500000007,1.0,1.0,0.
23.0,1.0,0.0,405904.3500000007,1.0,1.0,0.
24.0,1.0,0.0,407656.3500000007,1.0,1.0,0.
25.0,1.0,1.0,382894.3500000007,1.0,1.0,0.
26.0,1.0,0.0,391459.3500000007,1.0,1.0,0.
27.0,1.0,0.0,406601.3500000007,1.0,1.0,0.
28.0,1.0,0.0,386951.3500000007,1.0,1.0,0.
29.0,1.0,0.0,390841.3500000007,1.0,1.0,0.
30.0,1.0,0.0,392057.3500000007,1.0,1.0,0.
31.0,1.0,0.0,382163.3500000007,1.0,1.0,0.
32.0,1.0,0.0,390800.3500000007,1.0,1.0,0.
33.0,1.0,0.0,391615.3500000007,1.0,1.0,0.
34.0,1.0,0.0,400045.3500000007,1.0,1.0,0.
35.0,1.0,0.0,382033.3500000007,1.0,1.0,0.
36.0,1.0,0.0,398194.3500000007,1.0,1.0,0.
37.0,1.0,0.0,400588.3500000007,1.0,1.0,0.
38.0,1.0,0.0,417426.3500000007,1.0,1.0,0.
39.0,1.0,0.0,256768.64999999932,1.0,1.0,0.
40.0,1.0,0.0,268207.6499999993,1.0,1.0,0.
41.0,1.0,0.0,295193.3500000007,1.0,1.0,0.
42.0,1.0,0.0,278846.6499999993,1.0,1.0,0.
43.0,1.0,0.0,281292.6499999993,1.0,1.0,0.
44.0,1.0,0.0,445496.3500000007,1.0,1.0,0.
45.0,1.0,0.0,290425.6499999993,1.0,1.0,0.
46.0,1.0,0.0,282510.6499999993,1.0,1.0,0.
47.0,1.0,0.0,284523.6499999993,1.0,1.0,0.
48.0,1.0,0.0,283406.6499999993,1.0,1.0,0.
49.0,1.0,0.0,283446.6499999993,1.0,1.0,0.
50.0,1.0,0.0,268406.6499999993,1.0,1.0,0.
51.0,1.0,0.0,265903.6499999993,1.0,1.0,0.
52.0,1.0,0.0,246726.64999999932,1.0,1.0,0.
53.0,1.0,0.0,264998.6499999993,1.0,1.0,0.
54.0,1.0,0.0,244440.64999999932,1.0,1.0,0.
55.0,1.0,0.0,233492.64999999932,1.0,1.0,0.
56.0,1.0,0.0,224740.64999999932,1.0,1.0,0.
57.0,1.0,0.0,232545.64999999932,1.0,1.0,0.
58.0,1.0,0.0,241814.64999999932,1.0,1.0,0.
59.0,1.0,0.0,241680.64999999932,1.0,1.0,0.
60.0,1.0,0.0,245030.64999999932,1.0,1.0,0.
61.0,1.0,0.0,234863.64999999932,1.0,1.0,0.
62.0,1.0,0.0,229787.64999999932,1.0,1.0,0.
63.0,1.0,0.0,212322.64999999932,1.0,1.0,0.
64.0,1.0,0.0,221338.64999999932,1.0,1.0,0.
65.0,1.0,0.0,223847.64999999932,1.0,1.0,0.
66.0,1.0,0.0,220491.64999999932,1.0,1.0,0.
67.0,1.0,0.0,227884.64999999932,1.0,1.0,0.
68.0,1.0,0.0,245449.64999999932,1.0,1.0,0.
69.0,1.0,0.0,217647.35000000068,1.0,1.0,0.
