Frame_Num,Water_Detected,Hands_in_Water,Soap_Score,Expected_Water_Detection,Expected_Water_Location,Expected_Soap_Score
1.0,1.0,0.0,761416.7578947351,1.0,0.0,0.
2.0,0.0,0.0,789346.7578947351,1.0,0.0,0.
3.0,0.0,0.0,801392.7578947351,1.0,0.0,0.
4.0,0.0,0.0,803045.7578947351,1.0,0.0,0.
5.0,0.0,0.0,786945.7578947351,1.0,0.0,0.
6.0,0.0,0.0,809358.7578947351,1.0,0.0,0.
7.0,0.0,0.0,793430.7578947351,1.0,0.0,0.
8.0,0.0,0.0,804155.7578947351,1.0,0.0,0.
9.0,0.0,0.0,764996.7578947351,1.0,0.0,0.
10.0,0.0,0.0,797655.7578947351,1.0,0.0,0.
11.0,0.0,0.0,811701.7578947351,1.0,0.0,0.
12.0,0.0,0.0,810104.7578947351,1.0,0.0,0.
13.0,0.0,0.0,772182.7578947351,1.0,0.0,0.
14.0,0.0,0.0,787446.7578947351,1.0,0.0,0.
15.0,0.0,0.0,793665.7578947351,1.0,0.0,0.
16.0,0.0,0.0,806227.7578947351,1.0,0.0,0.
17.0,0.0,0.0,769028.7578947351,1.0,0.0,0.
18.0,0.0,0.0,774900.7578947351,1.0,0.0,0.
19.0,0.0,0.0,794976.7578947351,1.0,0.0,0.
20.0,1.0,0.0,776767.7578947351,1.0,0.0,0.
21.0,0.0,0.0,772829.7578947351,1.0,0.0,0.
22.0,0.0,0.0,771064.7578947351,1.0,0.0,0.
23.0,0.0,0.0,803130.7578947351,1.0,0.0,0.
24.0,0.0,0.0,792264.7578947351,1.0,0.0,0.
25.0,1.0,0.0,791319.7578947351,1.0,0.0,0.
26.0,1.0,0.0,760836.7578947351,1.0,0.0,0.
27.0,0.0,0.0,766277.7578947351,1.0,0.0,0.
28.0,0.0,0.0,782164.7578947351,1.0,0.0,0.
29.0,0.0,0.0,766428.7578947351,1.0,0.0,0.
30.0,0.0,0.0,760601.7578947351,1.0,0.0,0.
31.0,0.0,0.0,771953.7578947351,1.0,0.0,0.
32.0,1.0,0.0,769804.7578947351,1.0,0.0,0.
33.0,1.0,0.0,757946.7578947351,1.0,0.0,0.
34.0,1.0,0.0,750545.7578947351,1.0,0.0,0.
35.0,0.0,0.0,811835.7578947351,1.0,0.0,0.
36.0,0.0,0.0,777135.7578947351,1.0,0.0,0.
37.0,0.0,0.0,775442.7578947351,1.0,0.0,0.
38.0,0.0,0.0,711765.7578947351,1.0,0.0,0.
39.0,0.0,0.0,682395.7578947351,1.0,0.0,0.
40.0,0.0,0.0,678091.7578947351,1.0,0.0,0.
41.0,1.0,0.0,696785.7578947351,1.0,0.0,0.
42.0,1.0,0.0,645936.7578947351,1.0,0.0,0.
43.0,0.0,0.0,769674.7578947351,1.0,0.0,0.
44.0,0.0,0.0,786110.7578947351,1.0,0.0,0.
45.0,0.0,0.0,773215.7578947351,1.0,0.0,0.
46.0,0.0,0.0,790077.7578947351,1.0,0.0,0.
47.0,1.0,0.0,760367.7578947351,1.0,0.0,0.
48.0,0.0,0.0,780573.7578947351,1.0,0.0,0.
49.0,0.0,0.0,755550.7578947351,1.0,0.0,0.
50.0,0.0,0.0,790642.7578947351,1.0,0.0,0.
51.0,1.0,0.0,764829.7578947351,1.0,0.0,0.
52.0,0.0,0.0,772607.7578947351,1.0,0.0,0.
53.0,0.0,0.0,746001.7578947351,1.0,0.0,0.
54.0,0.0,0.0,752402.7578947351,1.0,0.0,0.
55.0,0.0,0.0,739935.7578947351,1.0,0.0,0.
56.0,1.0,0.0,719180.7578947351,1.0,0.0,0.
57.0,0.0,0.0,597145.7578947351,1.0,0.0,0.
58.0,0.0,0.0,723350.7578947351,1.0,0.0,0.
59.0,0.0,0.0,732074.7578947351,1.0,0.0,0.
60.0,0.0,0.0,699724.7578947351,1.0,0.0,0.
61.0,0.0,0.0,753659.7578947351,1.0,0.0,0.
62.0,0.0,0.0,775105.7578947351,1.0,0.0,0.
63.0,0.0,1.0,747538.7578947351,1.0,0.0,0.
64.0,1.0,0.0,821813.7578947351,1.0,0.0,0.
65.0,1.0,0.0,718971.7578947351,1.0,0.0,0.
66.0,1.0,0.0,856437.7578947351,1.0,0.0,0.
67.0,1.0,0.0,889600.7578947351,1.0,0.0,0.
68.0,0.0,0.0,965172.7578947351,1.0,0.0,0.
69.0,0.0,1.0,1003757.7578947351,1.0,0.0,0.
70.0,0.0,0.0,999750.7578947351,1.0,0.0,0.
71.0,0.0,1.0,975379.7578947351,1.0,0.0,0.
72.0,0.0,0.0,986507.7578947351,1.0,0.0,0.
73.0,0.0,0.0,810154.7578947351,1.0,0.0,0.
74.0,1.0,0.0,896921.7578947351,1.0,0.0,0.
75.0,1.0,0.0,598552.7578947351,1.0,0.0,0.
76.0,1.0,0.0,697941.7578947351,1.0,0.0,0.
77.0,1.0,0.0,579073.7578947351,1.0,0.0,0.
78.0,1.0,0.0,589399.7578947351,1.0,0.0,0.
79.0,1.0,0.0,648905.7578947351,1.0,0.0,0.
80.0,1.0,0.0,626902.7578947351,1.0,0.0,0.
81.0,1.0,0.0,702494.7578947351,1.0,0.0,0.
82.0,1.0,0.0,639826.7578947351,1.0,0.0,0.
83.0,1.0,0.0,695940.7578947351,1.0,0.0,0.
84.0,1.0,0.0,696205.7578947351,1.0,0.0,0.
85.0,1.0,0.0,600313.7578947351,1.0,0.0,0.
86.0,1.0,0.0,689905.7578947351,1.0,0.0,0.
87.0,1.0,0.0,660371.7578947351,1.0,0.0,0.
88.0,1.0,0.0,682879.7578947351,1.0,0.0,0.
89.0,1.0,0.0,712376.7578947351,1.0,0.0,0.
90.0,1.0,0.0,627460.7578947351,1.0,0.0,0.
91.0,1.0,0.0,545045.7578947351,1.0,0.0,0.
92.0,1.0,0.0,537141.7578947351,1.0,0.0,0.
93.0,1.0,0.0,536593.7578947351,1.0,0.0,0.
94.0,1.0,0.0,594974.7578947351,1.0,0.0,0.
95.0,1.0,0.0,598411.7578947351,1.0,0.0,0.
96.0,1.0,0.0,594836.7578947351,1.0,0.0,0.
97.0,1.0,0.0,618574.7578947351,1.0,0.0,0.
98.0,1.0,0.0,630281.7578947351,1.0,0.0,0.
99.0,1.0,0.0,636390.7578947351,1.0,0.0,0.
100.0,1.0,0.0,638257.7578947351,1.0,0.0,0.
101.0,1.0,0.0,652892.7578947351,1.0,0.0,0.
102.0,1.0,0.0,700549.7578947351,1.0,0.0,0.
103.0,1.0,0.0,625520.7578947351,1.0,0.0,0.
104.0,1.0,0.0,647876.7578947351,1.0,0.0,0.
105.0,1.0,0.0,637192.7578947351,1.0,0.0,0.
106.0,1.0,0.0,677430.7578947351,1.0,0.0,0.
107.0,1.0,0.0,613486.7578947351,1.0,0.0,0.
108.0,1.0,0.0,620691.7578947351,1.0,0.0,0.
109.0,1.0,0.0,591927.7578947351,1.0,0.0,0.
110.0,1.0,0.0,632646.7578947351,1.0,0.0,0.
111.0,1.0,0.0,635885.7578947351,1.0,0.0,0.
112.0,1.0,0.0,680755.7578947351,1.0,0.0,0.
113.0,1.0,0.0,530066.7578947351,1.0,0.0,0.
114.0,1.0,0.0,562128.7578947351,1.0,0.0,0.
115.0,1.0,0.0,622388.7578947351,1.0,0.0,0.
116.0,1.0,0.0,656844.7578947351,1.0,0.0,0.
117.0,1.0,0.0,647172.7578947351,1.0,0.0,0.
118.0,1.0,0.0,595815.7578947351,1.0,0.0,0.
119.0,1.0,0.0,544243.7578947351,1.0,0.0,0.
120.0,1.0,0.0,626513.7578947351,1.0,0.0,0.
121.0,1.0,0.0,513861.7578947351,1.0,0.0,0.
122.0,1.0,0.0,491802.7578947351,1.0,0.0,0.
123.0,1.0,0.0,500012.7578947351,1.0,0.0,0.
124.0,1.0,0.0,561331.7578947351,1.0,0.0,0.
125.0,1.0,0.0,595858.7578947351,1.0,0.0,0.
126.0,1.0,0.0,609216.7578947351,1.0,0.0,0.
127.0,1.0,0.0,624680.7578947351,1.0,0.0,0.
128.0,1.0,0.0,652713.7578947351,1.0,0.0,0.
129.0,1.0,0.0,638275.7578947351,1.0,0.0,0.
130.0,1.0,0.0,621054.7578947351,1.0,0.0,0.
131.0,1.0,0.0,644683.7578947351,1.0,0.0,0.
132.0,1.0,0.0,632317.7578947351,1.0,0.0,0.
133.0,1.0,0.0,542248.7578947351,1.0,0.0,0.
134.0,1.0,0.0,546624.7578947351,1.0,0.0,0.
135.0,1.0,0.0,530662.7578947351,1.0,0.0,0.
136.0,1.0,0.0,564394.7578947351,1.0,0.0,0.
137.0,1.0,0.0,616648.7578947351,1.0,0.0,0.
138.0,1.0,0.0,614848.7578947351,1.0,0.0,0.
139.0,1.0,0.0,637543.7578947351,1.0,0.0,0.
140.0,1.0,0.0,688505.7578947351,1.0,0.0,0.
141.0,1.0,0.0,638401.7578947351,1.0,0.0,0.
142.0,1.0,0.0,621693.7578947351,1.0,0.0,0.
143.0,1.0,0.0,621785.7578947351,1.0,0.0,0.
144.0,1.0,0.0,490263.7578947351,1.0,0.0,0.
145.0,1.0,0.0,844967.7578947351,1.0,0.0,0.
146.0,0.0,0.0,972949.7578947351,1.0,0.0,0.
147.0,0.0,0.0,971288.7578947351,1.0,0.0,0.
148.0,0.0,0.0,777647.7578947351,1.0,0.0,0.
149.0,0.0,0.0,779449.7578947351,1.0,0.0,0.
150.0,1.0,0.0,687980.7578947351,1.0,0.0,0.
151.0,1.0,0.0,687703.7578947351,1.0,0.0,0.
152.0,1.0,0.0,699130.7578947351,1.0,0.0,0.
153.0,1.0,0.0,606886.7578947351,1.0,0.0,0.
154.0,0.0,0.0,605651.7578947351,1.0,0.0,0.
155.0,1.0,0.0,601502.7578947351,1.0,0.0,0.
156.0,0.0,0.0,603971.7578947351,1.0,0.0,0.
157.0,1.0,0.0,609709.7578947351,1.0,0.0,0.
158.0,1.0,0.0,607010.7578947351,1.0,0.0,0.
159.0,1.0,0.0,513485.7578947351,1.0,0.0,0.
160.0,1.0,0.0,613265.7578947351,1.0,0.0,0.
161.0,1.0,0.0,520678.7578947351,1.0,0.0,0.
162.0,1.0,0.0,526700.7578947351,1.0,0.0,0.
163.0,1.0,0.0,557166.7578947351,1.0,0.0,0.
164.0,1.0,0.0,567018.7578947351,1.0,0.0,0.
165.0,1.0,0.0,563336.7578947351,1.0,0.0,0.
166.0,1.0,0.0,495855.7578947351,1.0,0.0,0.
167.0,1.0,0.0,608457.7578947351,1.0,0.0,0.
168.0,1.0,0.0,600516.7578947351,1.0,0.0,0.
169.0,1.0,0.0,597718.7578947351,1.0,0.0,0.
170.0,1.0,0.0,607924.7578947351,1.0,0.0,0.
171.0,1.0,0.0,657503.7578947351,1.0,0.0,0.
172.0,1.0,0.0,476700.7578947351,1.0,0.0,0.
173.0,1.0,0.0,566927.7578947351,1.0,0.0,0.
174.0,1.0,0.0,659766.7578947351,1.0,0.0,0.
175.0,1.0,0.0,639483.7578947351,1.0,0.0,0.
176.0,1.0,0.0,635811.7578947351,1.0,0.0,0.
177.0,1.0,0.0,643133.7578947351,1.0,0.0,0.
178.0,1.0,0.0,649345.7578947351,1.0,0.0,0.
179.0,1.0,0.0,646253.7578947351,1.0,0.0,0.
