Frame_Num,Water_Detected,Hands_in_Water,Soap_Score,Expected_Water_Detection,Expected_Water_Location,Expected_Soap_Score
1.0,1.0,0.0,492930.3928571413,1.0,0.0,0.
2.0,1.0,0.0,755076.3928571413,1.0,0.0,0.
3.0,1.0,0.0,462111.3928571413,1.0,0.0,0.
4.0,1.0,0.0,389713.3928571413,1.0,0.0,0.
5.0,1.0,0.0,404599.3928571413,1.0,0.0,0.
6.0,1.0,0.0,490826.3928571413,1.0,0.0,0.
7.0,1.0,0.0,369822.3928571413,1.0,0.0,0.
8.0,1.0,0.0,368374.3928571413,1.0,0.0,0.
9.0,1.0,0.0,340455.3928571413,1.0,0.0,0.
10.0,1.0,0.0,340297.3928571413,1.0,0.0,0.
11.0,1.0,0.0,508308.3928571413,1.0,0.0,0.
12.0,1.0,0.0,445256.3928571413,1.0,0.0,0.
13.0,1.0,0.0,451042.3928571413,1.0,0.0,0.
14.0,1.0,0.0,477197.3928571413,1.0,0.0,0.
15.0,1.0,0.0,489188.3928571413,1.0,0.0,0.
16.0,1.0,0.0,404353.3928571413,1.0,0.0,0.
17.0,1.0,0.0,403969.3928571413,1.0,0.0,0.
18.0,1.0,0.0,434632.3928571413,1.0,0.0,0.
19.0,1.0,0.0,348760.3928571413,1.0,0.0,0.
20.0,1.0,0.0,384791.3928571413,1.0,0.0,0.
21.0,1.0,0.0,386894.3928571413,1.0,0.0,0.
22.0,1.0,0.0,469155.3928571413,1.0,0.0,0.
23.0,1.0,0.0,458465.3928571413,1.0,0.0,0.
24.0,1.0,0.0,367188.3928571413,1.0,0.0,0.
25.0,1.0,0.0,386889.3928571413,1.0,0.0,0.
26.0,1.0,0.0,390684.3928571413,1.0,0.0,0.
27.0,1.0,0.0,425445.3928571413,1.0,0.0,0.
28.0,1.0,0.0,373102.3928571413,1.0,0.0,0.
29.0,1.0,0.0,460359.3928571413,1.0,0.0,0.
30.0,1.0,0.0,326854.3928571413,1.0,0.0,0.
31.0,1.0,0.0,365624.3928571413,1.0,0.0,0.
32.0,1.0,0.0,308278.3928571413,1.0,0.0,0.
33.0,1.0,0.0,375479.3928571413,1.0,0.0,0.
34.0,1.0,0.0,314668.3928571413,1.0,0.0,0.
35.0,1.0,0.0,511082.3928571413,1.0,0.0,0.
