Frame_Num,Water_Detected,Hands_in_Water,Soap_Score,Expected_Water_Detection,Expected_Water_Location,Expected_Soap_Score
1.0,1.0,0.0,364495.8095238061,1.0,0.0,0.
2.0,1.0,0.0,467993.8095238061,1.0,0.0,0.
3.0,1.0,0.0,552465.8095238061,1.0,0.0,0.
4.0,1.0,0.0,446945.8095238061,1.0,0.0,0.
5.0,1.0,0.0,425737.8095238061,1.0,0.0,0.
6.0,1.0,0.0,430090.8095238061,1.0,0.0,0.
7.0,1.0,0.0,506699.8095238061,1.0,0.0,0.
8.0,1.0,0.0,380645.8095238061,1.0,0.0,0.
9.0,1.0,0.0,291373.8095238061,1.0,0.0,0.
10.0,1.0,0.0,397771.8095238061,1.0,0.0,0.
11.0,1.0,0.0,510388.8095238061,1.0,0.0,0.
12.0,1.0,0.0,477884.8095238061,1.0,0.0,0.
13.0,1.0,0.0,441592.8095238061,1.0,0.0,0.
14.0,1.0,0.0,428466.8095238061,1.0,0.0,0.
15.0,1.0,0.0,440346.8095238061,1.0,0.0,0.
16.0,1.0,0.0,433613.8095238061,1.0,0.0,0.
17.0,1.0,0.0,444218.8095238061,1.0,0.0,0.
18.0,1.0,0.0,415270.8095238061,1.0,0.0,0.
19.0,1.0,0.0,410875.8095238061,1.0,0.0,0.
20.0,1.0,0.0,592006.8095238061,1.0,0.0,0.
21.0,1.0,0.0,480262.8095238061,1.0,0.0,0.
22.0,1.0,0.0,582184.8095238061,1.0,0.0,0.
23.0,1.0,0.0,410137.8095238061,1.0,0.0,0.
24.0,1.0,0.0,381945.8095238061,1.0,0.0,0.
25.0,1.0,0.0,378129.8095238061,1.0,0.0,0.
26.0,1.0,0.0,366046.8095238061,1.0,0.0,0.
27.0,1.0,0.0,357422.8095238061,1.0,0.0,0.
28.0,1.0,0.0,354026.8095238061,1.0,0.0,0.
29.0,1.0,0.0,316739.8095238061,1.0,0.0,0.
30.0,1.0,0.0,332621.8095238061,1.0,0.0,0.
31.0,1.0,0.0,358639.8095238061,1.0,0.0,0.
32.0,1.0,0.0,373458.8095238061,1.0,0.0,0.
33.0,1.0,0.0,332953.8095238061,1.0,0.0,0.
34.0,1.0,0.0,334852.8095238061,1.0,0.0,0.
35.0,1.0,0.0,343568.8095238061,1.0,0.0,0.
36.0,1.0,0.0,342320.8095238061,1.0,0.0,0.
37.0,1.0,0.0,292247.8095238061,1.0,0.0,0.
38.0,1.0,0.0,310660.8095238061,1.0,0.0,0.
39.0,1.0,0.0,344442.8095238061,1.0,0.0,0.
40.0,1.0,0.0,290130.8095238061,1.0,0.0,0.
41.0,1.0,0.0,404584.8095238061,1.0,0.0,0.
42.0,1.0,0.0,608709.8095238061,1.0,0.0,0.
43.0,1.0,0.0,305802.8095238061,1.0,0.0,0.
44.0,1.0,0.0,335657.8095238061,1.0,0.0,0.
45.0,1.0,0.0,356833.8095238061,1.0,0.0,0.
46.0,1.0,0.0,280122.8095238061,1.0,0.0,0.
47.0,1.0,0.0,294816.8095238061,1.0,0.0,0.
48.0,1.0,0.0,389677.8095238061,1.0,0.0,0.
49.0,1.0,0.0,367672.8095238061,1.0,0.0,0.
50.0,1.0,0.0,419181.8095238061,1.0,0.0,0.
51.0,1.0,0.0,360668.8095238061,1.0,0.0,0.
52.0,1.0,0.0,347918.8095238061,1.0,0.0,0.
53.0,1.0,0.0,372725.8095238061,1.0,0.0,0.
54.0,1.0,0.0,357835.8095238061,1.0,0.0,0.
55.0,1.0,0.0,376622.8095238061,1.0,0.0,0.
56.0,1.0,0.0,383115.8095238061,1.0,0.0,0.
57.0,1.0,0.0,279390.8095238061,1.0,0.0,0.
58.0,1.0,0.0,284973.8095238061,1.0,0.0,0.
59.0,1.0,0.0,332310.8095238061,1.0,0.0,0.
60.0,1.0,0.0,407073.8095238061,1.0,0.0,0.
61.0,1.0,0.0,641107.8095238061,1.0,0.0,0.
62.0,1.0,0.0,725651.8095238061,1.0,0.0,0.
63.0,1.0,0.0,444985.8095238061,1.0,0.0,0.
64.0,1.0,0.0,442517.8095238061,1.0,0.0,0.
65.0,1.0,0.0,382656.8095238061,1.0,0.0,0.
66.0,1.0,0.0,493875.8095238061,1.0,0.0,0.
67.0,1.0,0.0,404546.8095238061,1.0,0.0,0.
68.0,1.0,0.0,441348.8095238061,1.0,0.0,0.
69.0,1.0,0.0,466629.8095238061,1.0,0.0,0.
70.0,1.0,0.0,380358.8095238061,1.0,0.0,0.
71.0,1.0,0.0,399463.8095238061,1.0,0.0,0.
72.0,1.0,0.0,385586.8095238061,1.0,0.0,0.
73.0,1.0,0.0,475167.8095238061,1.0,0.0,0.
74.0,1.0,0.0,407978.8095238061,1.0,0.0,0.
75.0,1.0,0.0,463101.8095238061,1.0,0.0,0.
76.0,1.0,0.0,333418.8095238061,1.0,0.0,0.
77.0,1.0,0.0,380160.8095238061,1.0,0.0,0.
78.0,1.0,0.0,567489.8095238061,1.0,0.0,0.
79.0,1.0,0.0,457412.8095238061,1.0,0.0,0.
80.0,1.0,0.0,410737.8095238061,1.0,0.0,0.
81.0,1.0,0.0,545049.8095238061,1.0,0.0,0.
82.0,1.0,0.0,616470.8095238061,1.0,0.0,0.
